DATASET_SIMPLEBAR
#In simple bar charts, each ID is associated to a single numeric value which is displayed as a bar outside the tree.
#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,label 1
003452155v1_02732,958
003509805v1_00185,637
003545295v1_00767,379
003550845v1_02443,646
003556405v1_01920,646
003562015v1_01745,646
003563515v1_01275,633
003576845v1_02176,632
003576845v1_03989,647
003577195v1_02440,384
003577215v1_00575,376
003577215v1_01907,376
003694415v1_00119,618
003817095v1_03599,578
004282735v1_00030,376
004282745v1_00684,378
004351875v1_00866,378
005524015v1_03301,377
007119795v1_01252,628
007122045v1_00822,407
007122275v1_02587,646
007126245v1_01746,628
007618145v1_00814,66
007618145v1_00815,313
007618155v1_00376,361
007860005v1_02185,275
007860005v1_02186,92
007860005v1_02676,376
008087625v1_05013,974
008087625v1_06508,628
008363395v1_01381,376
008363395v1_01991,376
008501815v1_02981,378
008636105v1_01246,378
008636105v1_02702,378
008933285v1_00491,376
009691905v1_02935,580
900232105v1_02703,377
900232105v1_02711,377
900232105v1_03601,377
900232175v1_01558,377
900232175v1_03519,377
900232175v1_06664,377
900232175v1_07730,377
900232175v1_07737,281
900696475v1_01017,377
900696675v1_02368,377
Q1Q0T4,386
RPI20560.1,178
OQY74378.1,177
WP_014560695.1,178
OGU74076.1,180
PIQ87028.1,184
OGH61664.1,151
OGU74078.1,177
RQV95034.1,194
TAL66393.1,178
OFX36993.1,159
RKY93859.1,176
OFX71197.1,166
WP_007220182.1,341
OGJ86039.1,156
GBD88915.1,177
TFB10024.1,194
PLX00697.1,176
RKY94609.1,184
OGU69848.1,181
TLD40809.1,341
WP_099327067.1,341
Q1Q0T3.1,353
5C2V_C,314
OGD17724.1,172
WP_006930467.1,181
OGV07327.1,182
WP_007222834.1,341
TLD39959.1,341
OHC03840.1,340
OHB38213.1,340
KKO20886.1,375
OQZ02497.1,338
OGX10919.1,341
WP_052562265.1,340
WP_052562428.1,341
RIJ92454.1,273
TVL96610.1,340
WP_080325084.1,340
WP_146327606.1,340
OOP56456.1,316
TVM02932.1,341
ODS33868.1,341
KXK27884.1,189
KXK25786.1,190
ODS32253.1,191
AFA41967.1,128
QDE14815.1,128
AWT37861.1,128
AWT37860.1,128
AKN81220.1,128
AFA42041.1,128
AFM37661.1,128
AFA42054.1,128
AFA41992.1,128
AKN81298.1,128
AOC97710.1,128
AHJ26061.1,128
AFM37649.1,128
AKN81229.1,128
AFA41990.1,128
AHJ26097.1,128
AKN81256.1,128
AKN81253.1,128
AKN81297.1,128
AFM37652.1,128
AHJ26062.1,128
AHJ26074.1,128
AIL88651.1,124
AOC97722.1,128
AFA42028.1,128
AFA42005.1,128
AFA41999.1,128
OHC03710.1,161
AKN81293.1,128
AHJ26070.1,128
AKN81287.1,128
AKN81248.1,128
AKN81279.1,128
AKN81299.1,128
AOC97699.1,128
AFA42020.1,128
AKN81218.1,128
AOC97730.1,128
AFA42031.1,128
AKN81294.1,128
AOC97735.1,128
QDE14789.1,128
AIL88646.1,124
AFA42029.1,128
AKN81282.1,128
AFA42038.1,128
AKN81283.1,128
AFM37664.1,128
AOC97712.1,128
AFA42001.1,128
AKN81292.1,128
AFA42056.1,128
AFA41994.1,128
AOC97704.1,128
AKN81255.1,128
AFA42037.1,128
AKN81236.1,128
ARB51207.1,128
AFA42006.1,128
AFA42042.1,128
ARO77298.1,128
AOC97755.1,128
AKN81237.1,128
AFA42027.1,128
AFA41997.1,128
AMD37468.1,130
QDE14788.1,128
AOC97739.1,128
AKN81259.1,128
AFA41960.1,128
QDE14732.1,128
AKN81226.1,128
AKN81244.1,128
AMD37375.1,130
AFA42035.1,127
QDE14753.1,128
AKN81221.1,128
AMD37021.1,130
QDE14769.1,128
AKN81268.1,128
AMD37002.1,130
QDE14770.1,128
AKN81241.1,128
AUI44341.1,128
AUI44303.1,128
AUI44304.1,128
ARO77288.1,128
AFA41987.1,128
QDE14809.1,128
AKN81240.1,128
AFA42021.1,128
QDE14812.1,128
ANF29821.1,128
AUI44374.1,128
ARO77293.1,127
AKN81251.1,128
AFA42000.1,128
QDE14743.1,128
ANF29824.1,128
AUI44364.1,128
QDE14781.1,128
AUI44372.1,128
AUI44353.1,128
AUI44330.1,128
AIY27040.1,128
ARB51212.1,128
AFM37653.1,128
QDE14721.1,128
AUI44359.1,128
AOC97701.1,128
AWT37855.1,129
ARO77282.1,128
AFA41961.1,128
AMD37414.1,130
AKN81261.1,128
QDE14791.1,128
AUI44327.1,128
AOC97733.1,128
AFA41970.1,128
AKN81269.1,128
QDE14724.1,128
AUI44318.1,128
AFA42013.1,128
AKN81301.1,128
QDE14740.1,128
AUI44315.1,128
AKN81308.1,128
QDE14725.1,128
QDE14803.1,128
QDE14782.1,128
QDE14796.1,128
QDE14811.1,128
AFM37648.1,128
AMD37046.1,129
AOC97709.1,128
AUI44361.1,128
QDE14746.1,128
AUI44349.1,128
QDE14719.1,128
AUI44340.1,128
QDE14823.1,128
AUI44309.1,128
ANF29823.1,128
AIY27069.1,128
AKN81231.1,128
AMD37033.1,130
QDE14801.1,128
AUI44350.1,128
AMD37008.1,130
QDE14816.1,128
AUI44300.1,128
AMD37387.1,130
AWT37854.1,128
AWT37853.1,129
ARO77291.1,128
AFA41962.1,128
AIY27074.1,128
AMD37029.1,130
AWT37857.1,128
AFA41965.1,128
AMD37382.1,130
AMD37391.1,130
AMD37389.1,130
ARB51208.1,128
AFA41978.1,128
AMD37034.1,130
AFM37659.1,128
QDE14762.1,128
AKN81254.1,128
AFA41964.1,128
AMD36992.1,130
AFA42039.1,128
AMD37388.1,130
AMD37442.1,130
AMD37030.1,130
AUI44362.1,128
AIY27057.1,128
AKN81275.1,128
AFA42047.1,128
AMD37405.1,129
AFA42050.1,128
AMD37428.1,128
AFA42049.1,126
ARB51209.1,128
AWT37858.1,129
AFA41977.1,128
AFM37646.1,128
AIY27046.1,128
AKN81272.1,123
AMD37410.1,130
AFA41966.1,128
AFM37658.1,128
AIY27077.1,128
ANF29817.1,128
QDE14824.1,128
AMD37101.1,130
AFA41989.1,128
AFM37644.1,127
AMD37472.1,130
AFA41996.1,128
AMD37397.1,130
AFA42040.1,128
AMD36961.1,130
AMD37396.1,130
AMD37446.1,130
AIY27049.1,128
ANF29816.1,128
AFM37656.1,125
AFA41991.1,128
AMD37249.1,130
AMD37400.1,129
AMD36984.1,130
AMD37345.1,130
AMD37333.1,130
ARB51213.1,128
QDE14802.1,128
AIY27067.1,128
ANF29819.1,128
AMD37378.1,130
AMD37416.1,130
AMD37385.1,130
AOC97714.1,128
AIY27068.1,128
ANF29818.1,128
AMD37097.1,130
AMD37403.1,129
AMD37050.1,129
AMD37003.1,129
AMD37437.1,130
AMD37448.1,130
AMD37393.1,130
AMD37451.1,130
AFA41980.1,128
AFM37668.1,127
AIY27073.1,128
AMD37364.1,130
AFM37665.1,127
AIY27063.1,128
AMD36999.1,130
QBZ67309.1,128
AIY27052.1,128
AMD37297.1,130
AMD37228.1,130
AMD37380.1,128
AKN81227.1,128
ANF29830.1,128
AFA41976.1,128
AMD37354.1,130
ANF29829.1,128
QDR47936.1,128
AMD37487.1,128
AMD37491.1,130
AMD37452.1,130
AMD37347.1,130
AMD36980.1,130
AMD37107.1,130
AMD37350.1,130
AMD37128.1,130
AMD37271.1,130
QBZ67286.1,128
QDR47954.1,128
AMD37146.1,129
AHJ26072.1,128
QDR47913.1,127
AMD36994.1,130
AMD37059.1,130
AMD37219.1,130
AMD37284.1,130
AMD37300.1,130
AKN81270.1,128
AFA41975.1,128
ANF29814.1,128
AMD37363.1,130
AFA41968.1,128
QBZ67314.1,128
AMD37509.1,129
QBZ67291.1,128
AMD37413.1,128
AMD37482.1,130
AMD37252.1,130
AMD36985.1,130
AMD36989.1,130
AMD36964.1,130
AMD37115.1,130
AMD37440.1,130
AWT37849.1,128
QDR47946.1,128
AFA41963.1,128
AMD37044.1,126
ATN38572.1,121
AMD37184.1,130
AMD37291.1,130
AMD37342.1,130
AMD37417.1,130
AMD37357.1,130
AMD37139.1,130
AMD37274.1,130
AMD37392.1,130
QBZ67294.1,128
AMD36990.1,130
AMD37276.1,130
AMD37134.1,130
AMD37064.1,130
AMD37281.1,130
AMD37074.1,130
AMD37299.1,130
AMD37305.1,130
AMD36982.1,130
AMD37464.1,130
AMD37463.1,130
AMD37230.1,130
AMD37226.1,130
AMD37435.1,130
AMD37264.1,130
AMD37444.1,130
AIY27070.1,128
AMD37369.1,128
AMD37422.1,128
AMD36962.1,128
AMD37335.1,129
AMD37455.1,130
AMD37513.1,130
AMD37372.1,130
AMD37340.1,130
AMD37318.1,130
AMD37223.1,130
AMD36988.1,130
AMD37355.1,130
AMD37233.1,130
AMD37449.1,130
AMD37262.1,130
AIL88650.1,124
AHJ26067.1,128
AFA42011.1,128
ATN38560.1,121
AMD36969.1,130
AMD37294.1,128
AMD37261.1,130
AMD37311.1,130
AMD37310.1,130
AMD37147.1,130
AMD37293.1,130
AMD37246.1,130
AMD37207.1,130
AMD37486.1,128
AMD37415.1,128
AMD37088.1,130
AMD37069.1,130
AMD37075.1,130
AMD37061.1,130
AMD37181.1,130
AMD37188.1,130
AMD36981.1,129
AMD37234.1,130
AMD37063.1,130
AMD37124.1,130
AMD37062.1,130
AMD37456.1,130
AMD37490.1,130
AMD37054.1,125
AMD37346.1,128
AMD36960.1,128
AMD37376.1,126
AMD37450.1,130
AMD37283.1,130
AMD37095.1,130
AMD36978.1,130
AMD37187.1,130
AIL88652.1,124
AKN81247.1,128
AMD37341.1,128
AMD37504.1,129
AMD37289.1,130
AMD37149.1,130
AMD37206.1,130
AMD36928.1,130
AMD37116.1,130
AMD37077.1,130
ATN38562.1,121
AIL88647.1,124
AMD37110.1,127
AIL88649.1,124
AMD36971.1,128
AMD37420.1,128
AMD37082.1,130
AMD37081.1,130
AMD37186.1,130
AMD37067.1,130
AMD37153.1,129
AMD37178.1,129
AMD36940.1,130
AMD37251.1,130
AMD37514.1,129
AMD36966.1,128
AMD36967.1,128
AHJ26077.1,128
AMD36977.1,128
AMD37267.1,129
AMD37423.1,129
AMD37196.1,130
AMD37243.1,130
AMD37151.1,130
ATN38569.1,121
AHJ26065.1,128
AMD37304.1,130
AMD37163.1,130
AMD37085.1,130
AMD37508.1,129
AMD36932.1,130
AMD37205.1,130
AMD36976.1,130
ANF29815.1,128
AMD36965.1,128
AMD37312.1,128
AMD37217.1,130
AMD37094.1,130
AMD37195.1,130
AMD37278.1,130
AMD36926.1,130
AMD37255.1,130
AMD37161.1,129
AMD37197.1,130
AMD37173.1,130
AMD37141.1,129
AMD37071.1,130
AMD37282.1,130
AMD36931.1,130
AMD36996.1,126
AMD37221.1,130
AMD37399.1,129
AMD37041.1,124
AMD37462.1,126
AMD37006.1,124
AMD36934.1,130
AMD37356.1,130
AMD36927.1,130
AMD37237.1,130
AMD37457.1,130
AMD36935.1,130
AIL88644.1,124
AMD37239.1,130
AMD37266.1,130
AMD37103.1,130
AMD37109.1,129
AMD36942.1,130
AMD36958.1,130
AMD36986.1,128
AMD37295.1,126
AMD37511.1,129
AFA41969.1,128
AIL88643.1,124
AMD37425.1,128
AMD37136.1,128
AMD37129.1,128
AMD37092.1,130
AMD36953.1,130
AMD37105.1,130
AMD36946.1,130
AMD37218.1,130
AMD37330.1,129
ATN38567.1,121
AMD36929.1,130
AMD36933.1,130
AMD37137.1,130
AMD37119.1,128
ATN38559.1,121
AMD36937.1,130
AMD37215.1,126
AMD37113.1,125
AMD37114.1,128
AMD37144.1,128
AMD37190.1,129
AMD37005.1,123
AMD37303.1,130
AMD37042.1,123
AIL88645.1,124
AMD37418.1,130
AMD37458.1,130
AMD37377.1,124
AMD37480.1,125
AMD37324.1,129
AMD37171.1,129
AMD36936.1,130
AMD37083.1,130
AMD37057.1,130
AXH06477.1,115
AMD37066.1,130
AMD37179.1,128
AMD37093.1,130
AMD37287.1,126
AMD37142.1,129
AMD37140.1,130
ARO77283.1,119
ATN38563.1,121
AMD37017.1,123
AMD37157.1,128
AMD37216.1,126
AMD37007.1,123
AMD37111.1,128
AMD37317.1,126
ATN38565.1,121
AMD37121.1,130
AMD37013.1,123
AMD37020.1,123
AMD37156.1,126
AMD36930.1,130
AMD37138.1,129
AMD37484.1,126
AMD37489.1,124
AMD37073.1,130
ARO77259.1,116
ATN38574.1,121
AMD36973.1,123
AMD37164.1,123
AMD37334.1,123
AMD37307.1,124
ARO77244.1,116
ATN38576.1,121
AMD37430.1,130
ATN38561.1,121
ATN38564.1,121
ARO77228.1,116
AMD37132.1,124
ARO77254.1,116
AMD37143.1,124
ARO77248.1,116
AMD37145.1,124
ARO77226.1,116
ART64853.1,122
AMD37096.1,124
ARO77269.1,116
ARO77280.1,116
ARO77241.1,116
ARO77276.1,116
AMD37301.1,121
ARO77267.1,115
ART64852.1,122
AMD37343.1,122
ARO77227.1,116
AMD37466.1,124
ARO77243.1,116
AMD37460.1,123
ARO77251.1,116
ARO77262.1,116
ATN38566.1,121
AOT82263.1,115
AMD37108.1,123
ARO77279.1,116
AMD37192.1,123
ARO77255.1,116
AXH06475.1,115
AMD36968.1,119
ARO77239.1,116
AMD37248.1,119
ARO77249.1,116
ARO77245.1,116
AOT82267.1,115
AXH06471.1,115
AMD37254.1,118
ALH45709.1,111
AOT82266.1,115
AXH06460.1,115
AOT82268.1,115
AOT82265.1,115
AOT82255.1,115
AOT82264.1,115
ATN38568.1,121
AMD37238.1,119
ALH45715.1,111
AXH06470.1,115
AOT82261.1,115
ALH45721.1,111
AXH06458.1,115
AOT82259.1,115
AOT82260.1,115
AOC97783.1,111
AOT82258.1,115
ATN38571.1,121
AXH06455.1,115
AOT82262.1,115
AXH06474.1,115
AMD37176.1,126
ARO77246.1,116
AOC97775.1,111
AXH06464.1,115
AOC97688.1,111
AMD37043.1,110
AXH06465.1,115
AOC97723.1,111
ALH45718.1,111
AXH06463.1,115
ALH45722.1,111
AOT82256.1,115
AOC97646.1,111
AXH06456.1,115
ALH45712.1,111
AMD37258.1,118
AMD37035.1,115
AOC97840.1,111
AXH06473.1,115
ALH45704.1,111
AMD37421.1,110
AOC97815.1,111
AXH06457.1,115
ATN38575.1,121
AMD37477.1,110
AXH06454.1,115
AXH06461.1,115
AXH06452.1,115
AOC97806.1,111
AOC97753.1,111
AMD37371.1,110
AOC97684.1,111
AMD37373.1,110
AOC97826.1,111
AMD36970.1,110
ALH45699.1,111
AOC97830.1,111
AMD37383.1,117
ALH45716.1,111
AMD37381.1,109
ALH45720.1,111
ALH45705.1,111
AOC97819.1,111
AOC97838.1,111
AOC97708.1,111
AOC97770.1,111
AMD37001.1,109
AXH06476.1,115
ALH45717.1,111
AMD37319.1,111
AXH06468.1,115
ALH45703.1,111
AMD37358.1,110
AXH06451.1,115
AOC97645.1,111
ALH45710.1,111
AMD37419.1,110
AXH06467.1,115
AOC97680.1,111
AMD37337.1,110
AXH06469.1,115
AMD37502.1,109
AMD37160.1,116
ALH45711.1,111
AXH06466.1,115
AMD37320.1,110
AOC97814.1,111
AOC97659.1,111
AOC97756.1,111
AHJ26009.1,111
AOC97776.1,111
AOC97681.1,111
AXH06453.1,115
AMD36975.1,110
AOC97663.1,111
AOC97689.1,111
AXH06462.1,115
AOC97668.1,111
AXH06472.1,115
AOC97760.1,111
AMD37476.1,115
AOC97769.1,111
AOC97672.1,111
AHJ26010.1,111
AHJ26017.1,111
AHJ26032.1,111
AHJ26019.1,111
ALH45714.1,111
AMD37058.1,115
AOC97780.1,111
AHJ26051.1,111
ALH45700.1,111
AMD37099.1,110
AOC97843.1,111
AHJ26043.1,111
ALH45701.1,111
AMD37322.1,109
AOC97793.1,111
AHJ26054.1,111
AMD37432.1,110
AOC97842.1,111
AHJ26020.1,111
AMD37465.1,110
AOC97648.1,111
AMD37125.1,110
AMD37098.1,110
AMD37290.1,110
AHJ26047.1,111
AOC97644.1,111
AMD37150.1,116
AHJ26007.1,111
AMD37102.1,110
AHJ26040.1,111
ALH45708.1,111
AOC97694.1,111
AMD37118.1,110
AHJ26041.1,111
ALH45706.1,111
AOC97743.1,109
AHJ26053.1,111
AMD37471.1,110
AOC97654.1,111
AHJ26038.1,111
AHJ26016.1,111
ALH45719.1,111
AHJ26055.1,111
AHJ26035.1,111
ALH45702.1,111
AHJ26029.1,111
AMD37155.1,110
AOC97808.1,111
AOC97677.1,111
AOC97682.1,111
AOC97658.1,111
AOC97757.1,108
AHJ26008.1,111
AMD37172.1,109
AHJ26048.1,111
AOC97822.1,109
ARO77238.1,116
AOC97652.1,111
AOC97669.1,110
ARO77242.1,116
AOC97707.1,104
ARO77240.1,116
AHJ26026.1,111
AMD37131.1,115
ALH45724.1,111
AOC97700.1,106
ALH45723.1,111
AHJ26049.1,111
AOC97781.1,105
TVM01298.1,111
AOC97656.1,104
AOC97773.1,104
QDR47915.1,101
OHB94758.1,120
OHB96261.1,101
RJP73117.1,351
KKT03859.1,168
PLX24833.1,170
RMH60697.1,167
WP_023525550.1,200
WP_014960921.1,200
OQX88980.1,181
WP_036082306.1,200
WP_014449647.1,208
RCK77576.1,179
OFZ48558.1,184
TFB11217.1,194
OGB63199.1,184
OGG05361.1,182
RKY89515.1,181
TFB13653.1,194
BAM07182.1,207
WP_148272727.1,196
PIQ31707.1,162
PKP31564.1,162
RME77820.1,213
OFY50601.1,143
EES51507.1,198
ODS34083.1,208
OHB76455.1,221
OPX22826.1,187
KAA3615331.1,180
GBD90085.1,189
TFH02709.1,185
GBD93094.1,194
PKP29604.1,173
RQW06237.1,191
RMF56350.1,187
OGU26205.1,162
RPI14515.1,188
OIP54560.1,174
KXK55511.1,186
TMQ02794.1,304
TMQ16681.1,279
WP_008105168.1,279
OHE89073.1,264
PYQ18512.1,259
GBD26886.1,272
WP_092347844.1,254
OIO97054.1,303
WP_140945255.1,252
WP_047134100.1,248
CUS81220.1,247
WP_072150936.1,249
GBC99487.1,266
TMA38422.1,301
TMA64676.1,301
TMA61920.1,301
TMA55679.1,269
TMB18400.1,272
PYT06396.1,267
TMB57743.1,295
TMB55035.1,269
TMQ59082.1,261
TMQ48211.1,261
TMA44224.1,336
TMA94523.1,269
TMA50271.1,309
TMB11736.1,336
TMB45433.1,269
TMB60156.1,272
RME44484.1,208
PYT11150.1,258
TMA69729.1,269
TMA67141.1,269
TMQ70834.1,264
OGF14312.1,249
TMA40315.1,222
TML13868.1,310
TME70118.1,301
TMA77695.1,248
TMQ60563.1,267
TMB21980.1,275
TMQ70358.1,264
TMQ65134.1,250
TDI41826.1,284
TMQ53125.1,257
PYQ10495.1,265
TDI45443.1,272
PYQ55932.1,152
PJB62217.1,157
TMA48610.1,341
CUT08229.1,147
TMA44347.1,187
WP_116456590.1,251
PIX49463.1,226
TMB19625.1,152
WP_069960427.1,299
AIA14745.1,224
WP_128153959.1,147
WP_128192700.1,147
KAA3613146.1,178
RKY61750.1,188
PID79171.1,214
OGD20005.1,171
RPI65483.1,181
RPI01730.1,203
OGH01221.1,192
RQW06123.1,180
RPI65441.1,179
RMD49342.1,167
OHB50128.1,199
WP_149936797.1,264
RPJ82935.1,266
WP_123039068.1,108
AGP33488.1,327
OIO62465.1,190
OIO22593.1,183
TFH21961.1,269
TAK54063.1,180
TSA24051.1,177
PIP76697.1,183
PIW69341.1,187
RQV96719.1,163
OGW82767.1,170
OGX30920.1,165
AIA89314.1,177
RZL86801.1,348
OYY91919.1,364
RYE93115.1,372
OYV86186.1,186
PHQ79492.1,191
PCI26503.1,203
000019965v1_03040,821
000025185v1_00768,601
000186345v1_00753,645
000242455v3_04932,621
000255675v1_04212,621
000296795v1_00437,341
000296795v1_02989,341
000296795v1_03651,341
000315095v1_00926,289
000315115v1_02790,341
000786775v1_01057,690
000786775v1_03563,86
000949635v1_00673,340
000949635v1_00843,341
000949635v1_02662,340
000987375v1_00375,341
001302675v1_00591,655
001302675v1_01328,518
001303465v1_01535,959
001303605v1_00807,651
001303605v1_01690,655
001303665v1_01920,653
001603075v1_04427,1481
001723765v1_01056,341
001723765v1_05013,70
001746835v1_02681,845
001753675v2_01375,340
001824525v1_00794,340
001824635v1_00478,600
001824675v1_00757,630
001824675v1_01714,382
001828245v1_00370,661
001828265v1_00855,960
001828265v1_02393,646
001828305v1_00020,449
001828345v1_02416,646
001828385v1_01651,182
001828465v1_00401,554
001828465v1_01549,379
001828515v1_01174,239
001828565v1_00461,101
001828565v1_01999,115
001828595v1_00557,340
001828595v1_00630,161
001828605v1_00434,340
001828645v1_00554,289
001830275v1_00476,182
001898385v1_00079,606
002007645v1_02343,613
002007645v1_03498,601
002009475v1_01906,316
002050315v1_01436,338
002050325v1_01586,340
002277955v1_01989,970
002277955v1_02741,663
002327785v1_02022,701
002347125v1_00224,613
002359185v1_02581,611
002402755v1_02355,636
002443295v1_03760,690
002443295v1_04122,690
002483025v1_02487,601
002632345v1_02038,115
002632345v1_03609,115
002685935v1_01349,638
002687715v1_04021,249
002687715v1_04393,637
002689655v1_01702,670
002726245v1_03163,651
002726245v1_04577,576
002731545v1_03132,611
002848945v1_02836,340
002967725v1_05135,596
003044115v1_05135,596
003152975v1_00875,949
003152975v1_01949,612
003170085v1_02329,638
003229025v1_00623,251
003230465v1_00389,716
003230465v1_01376,638
003233175v1_00288,644
003236015v1_00311,637
003247375v1_00223,434
003247375v1_01444,617
003247995v1_00903,958
003452155v1_01919,636
003509805v1_01955,723
003531135v1_01920,464
003532715v1_01715,648
003533825v1_01055,508
003533825v1_02534,958
003545295v1_00929,317
003550845v1_01140,958
003551385v1_00024,660
003551385v1_00415,572
003556405v1_01742,957
003559955v1_02882,646
003559955v1_06173,549
003561895v1_03040,629
003562015v1_01165,957
003563235v1_08833,957
003563235v1_08842,646
003564325v1_00779,629
003567525v1_01583,646
003567525v1_04994,957
003577215v1_01346,272
003644175v1_01446,617
003696025v1_02380,644
003696025v1_02609,293
003696025v1_03831,439
003696385v1_03074,672
003820145v1_00742,612
003977685v1_00766,631
004282735v1_00031,340
004282745v1_00683,341
004351875v1_00865,341
004556055v1_01050,624
005223045v1_00237,959
005223045v1_01536,621
005223045v1_03513,630
005524015v1_02559,341
005524015v1_03302,341
005773265v1_01841,641
005786805v1_00488,629
007119795v1_00032,951
007121535v1_01885,957
007121535v1_06551,646
007122045v1_00823,222
007122275v1_02770,958
007124655v1_03621,957
007124655v1_05331,646
007126245v1_02296,951
007129635v1_03421,957
007133715v1_00784,953
007135285v1_00071,649
007135525v1_03591,957
007135525v1_04221,646
007135925v1_01378,768
007618135v1_02307,106
007618135v1_04220,341
007618145v1_00816,341
007618155v1_00375,340
007695205v1_00233,957
007695205v1_01944,646
007747655v1_06387,591
007752535v1_02080,621
007752935v1_04732,620
007859735v1_02886,563
007859835v1_01704,600
007859835v1_02481,649
007859875v1_03255,620
007860005v1_02187,340
007860005v1_02675,340
007860135v1_02572,610
007860135v1_03745,953
007860135v1_05225,639
007860175v1_04344,632
007860185v1_00491,605
007860215v1_00651,620
008363395v1_00566,272
008501815v1_02982,341
008636105v1_01247,341
008636105v1_02703,342
008933285v1_01419,332
009177065v1_05511,621
900129635v1_04244,619
900232105v1_02704,341
900232105v1_02712,341
900232105v1_03602,341
900232175v1_01559,341
900232175v1_03518,341
900232175v1_06665,341
900232175v1_07729,341
900317365v1_01073,623
900696475v1_01018,341
900696675v1_02367,341
Q1Q0T3,353
