LABELS
#use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#NODE_ID,LABEL

#Examples
#define a name for an internal node
#9031|9606,Metazoa

#change the label for leaf node 9606
#9606,Homo sapiens
002632395v1_02883,002632395v1_02883 (Candidatus Kuenenia stuttgartiensis Ru_enrich_A3)
900232105v1_01764,900232105v1_01764 (Candidatus Kuenenia stuttgartiensis kuenenia_mbr1_ru-nijmegen)
900232175v1_04056,900232175v1_04056 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
900696675v1_03273,900696675v1_03273 (uncultured Candidatus Kuenenia sp. AMX1.fa.gz)
007618145v1_00663,007618145v1_00663 (Candidatus Kuenenia stuttgartiensis BL10)
002418245v1_00855,002418245v1_00855 (Candidatus Kuenenia stuttgartiensis UBA5795)
900232175v1_03802,900232175v1_03802 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
000786775v1_01208,000786775v1_01208 (Candidatus Scalindua brodae RU1)
002632345v1_03252,002632345v1_03252 (Candidatus Scalindua rubra Ru_enrich_A1)
007859995v1_02388,007859995v1_02388 (Candidatus Brocadiaceae bacterium S225 )
004282745v1_01347,004282745v1_01347 (Candidatus Scalindua sp. SCAELEC01 SCAELEC01)
008501815v1_03200,008501815v1_03200 (Candidatus Scalindua sp. amx)
004351875v1_03244,004351875v1_03244 (Candidatus Scalindua sp. AMX11 AMX11)
002443295v1_02685,002443295v1_02685 (Candidatus Scalindua japonica )
002009475v1_02747,002009475v1_02747 (Candidatus Brocadia caroliniensis 26THWARD)
007618135v1_01778,007618135v1_01778 (Candidatus Brocadia sp. WS118 WS118)
005524015v1_00893,005524015v1_00893 (Candidatus Jettenia ecosi J2)
000987375v1_01421,000987375v1_01421 (Candidatus Brocadia fulgida RU1)
003577195v1_02868,003577195v1_02868 (Candidatus Brocadia sp. AMX2)
002050315v1_00606,002050315v1_00606 (Candidatus Brocadia sp. UTAMX2 UTAMX2)
001753675v2_02543,001753675v2_02543 (Candidatus Brocadia sapporoensis )
002848945v1_01527,002848945v1_01527 (Candidatus Brocadia sp. R4W10303 R4W10303)
007618155v1_00981,007618155v1_00981 (Candidatus Brocadia sp. BL1 BL1)
002050325v1_00452,002050325v1_00452 (Candidatus Brocadia sp. UTAMX1 UTAMX1)
004282735v1_01127,004282735v1_01127 (Candidatus Brocadia sp. BROELEC01 BROELEC01)
007860005v1_01471,007860005v1_01471 (Candidatus Brocadiaceae bacterium B188 )
001753675v2_01389,001753675v2_01389 (Candidatus Brocadia sapporoensis )
002848945v1_02600,002848945v1_02600 (Candidatus Brocadia sp. R4W10303 R4W10303)
007618155v1_02577,007618155v1_02577 (Candidatus Brocadia sp. BL1 BL1)
002050325v1_02535,002050325v1_02535 (Candidatus Brocadia sp. UTAMX1 UTAMX1)
004282735v1_02832,004282735v1_02832 (Candidatus Brocadia sp. BROELEC01 BROELEC01)
007860005v1_00823,007860005v1_00823 (Candidatus Brocadiaceae bacterium B188 )
001828435v1_01934,001828435v1_01934 (Planctomycetes bacterium RIFCSPHIGHO2_12_39_6 )
002418285v1_02917,002418285v1_02917 (Phycisphaerales bacterium UBA5793 UBA5793)
002686265v1_03699,002686265v1_03699 (Planctomycetes bacterium ARS15)
009691855v1_00854,009691855v1_00854 (Planctomycetes bacterium Baikal-deep-G170)
003644265v1_02132,003644265v1_02132 (Planctomycetes bacterium B15_G4)
002686995v1_05448,002686995v1_05448 (Phycisphaeraceae bacterium ARS65)
002748355v1_02652,002748355v1_02652 (Planctomycetes bacterium DOLJORAL78_63_9)
003695305v1_00356,003695305v1_00356 (Planctomycetes bacterium J071)
002726285v1_01083,002726285v1_01083 (Planctomycetaceae bacterium NP82)
003520025v1_00582,003520025v1_00582 (Phycisphaerales bacterium UBA12567)
003697045v1_00847,003697045v1_00847 (Planctomycetes bacterium J022)
005240095v1_00692,005240095v1_00692 (Phycisphaera mikurensis Bin_18_1)
007860135v1_00259,007860135v1_00259 (Planctomycetes bacterium Poly41 )
004282745v1_03664,004282745v1_03664 (Candidatus Scalindua sp. SCAELEC01 SCAELEC01)
008501815v1_01728,008501815v1_01728 (Candidatus Scalindua sp. amx)
004351875v1_03420,004351875v1_03420 (Candidatus Scalindua sp. AMX11 AMX11)
003228885v1_00316,003228885v1_00316 (Planctomycetaceae bacterium SZUA-155)
003230035v1_00691,003230035v1_00691 (Planctomycetaceae bacterium SZUA-143)
003233155v1_00158,003233155v1_00158 (Planctomycetaceae bacterium SZUA-32)
003230035v1_00307,003230035v1_00307 (Planctomycetaceae bacterium SZUA-143)
003233355v1_01677,003233355v1_01677 (Planctomycetes bacterium SZUA-19)
003228885v1_01689,003228885v1_01689 (Planctomycetaceae bacterium SZUA-155)
003233175v1_04338,003233175v1_04338 (Planctomycetaceae bacterium SZUA-33)
007860015v1_04456,007860015v1_04456 (Planctomycetes bacterium Pla144 )
003576845v1_00668,003576845v1_00668 (Planctomycetes bacterium PLA5)
005773095v1_02785,005773095v1_02785 (Planctomycetaceae bacterium F1-120-MAGs029)
005778405v1_03067,005778405v1_03067 (Planctomycetaceae bacterium F1-120-MAGs210)
003388505v1_02385,003388505v1_02385 (Planctomycetes bacterium MB_PLM_1)
003389255v1_05291,003389255v1_05291 (Planctomycetes bacterium MA_PLM_1)
003388575v1_01380,003388575v1_01380 (Planctomycetes bacterium LB_PLM_1)
003696385v1_00451,003696385v1_00451 (Planctomycetes bacterium J052)
003820055v1_02746,003820055v1_02746 (Planctomycetaceae bacterium maxbin2.1320)
005778115v1_00991,005778115v1_00991 (Planctomyces sp. F1-120-MAGs108)
005798485v1_04961,005798485v1_04961 (Planctomyces sp. F1-80-MAGs004)
005800415v1_01005,005800415v1_01005 (Planctomyces sp. F1-60-MAGs074)
005790305v1_09628,005790305v1_09628 (Planctomyces sp. F1-140-MAGs161)
005779075v1_00140,005779075v1_00140 (Planctomyces sp. F1-120-MAGs109)
005800415v1_04444,005800415v1_04444 (Planctomyces sp. F1-60-MAGs074)
005798445v1_05862,005798445v1_05862 (Planctomyces sp. F1-80-MAGs005)
005791805v1_01414,005791805v1_01414 (Planctomyces sp. F1-140-MAGs162)
004295085v1_02883,004295085v1_02883 (Planctomycetes bacterium Bin8)
005778725v1_00009,005778725v1_00009 (Planctomycetia bacterium F1-120-MAGs169)
005804045v1_00879,005804045v1_00879 (Planctomycetia bacterium F1-80-MAGs171)
008501825v1_04485,008501825v1_04485 (Planctomycetes bacterium PNC)
003576875v1_00913,003576875v1_00913 (Planctomycetes bacterium PLA3)
007753915v1_00574,007753915v1_00574 (Phycisphaerae bacterium RAS2 )
008363155v1_02396,008363155v1_02396 (Planctomycetes bacterium PLA)
008933925v1_03184,008933925v1_03184 (Phycisphaerae bacterium SB5)
003576905v1_01402,003576905v1_01402 (Planctomycetes bacterium PLA2)
900696465v1_01594,900696465v1_01594 (uncultured planctomycete PLA6.fa.gz)
005773305v1_01093,005773305v1_01093 (Planctomycetia bacterium F1-120-MAGs009)
005804145v1_00167,005804145v1_00167 (Planctomycetia bacterium F1-80-MAGs166)
009691715v1_01269,009691715v1_01269 (Planctomycetes bacterium Baikal-deep-G175)
005772855v1_01094,005772855v1_01094 (Planctomycetia bacterium F1-120-MAGs048)
005809225v1_01642,005809225v1_01642 (Planctomycetia bacterium F1-80-MAGs044)
005801495v1_00166,005801495v1_00166 (Planctomycetia bacterium F1-60-MAGs016)
005779745v1_00898,005779745v1_00898 (Planctomycetia bacterium F1-120-MAGs063)
005805155v1_01343,005805155v1_01343 (Planctomycetia bacterium F1-80-MAGs123)
005799575v1_00069,005799575v1_00069 (Planctomycetia bacterium F1-60-MAGs100)
005790545v1_01180,005790545v1_01180 (Planctomycetia bacterium F1-140-MAGs146)
003696625v1_02217,003696625v1_02217 (Planctomycetes bacterium J029)
001828495v1_01954,001828495v1_01954 (Planctomycetes bacterium RBG_16_59_8 )
001610895v1_01131,001610895v1_01131 (Planctomyces sp. SH-PL62 )
001898385v1_02755,001898385v1_02755 (Planctomycetales bacterium 71-10 71-10)
001956985v1_05485,001956985v1_05485 (Paludisphaera borealis )
008087625v1_05650,008087625v1_05650 (Aquisphaera giovannonii )
003977685v1_01114,003977685v1_01114 (Tautonia sociabilis )
009177065v1_00251,009177065v1_00251 (Aquisphaera sp. JC650 )
007752535v1_06184,007752535v1_06184 (Planctomycetes bacterium ElP )
002338715v1_01189,002338715v1_01189 (Phycisphaerales bacterium UBA1845 UBA1845)
007751035v1_01038,007751035v1_01038 (Planctomycetes bacterium Pla85_3_4 )
003597935v1_02419,003597935v1_02419 (Phycisphaerales bacterium SURF_32)
007747445v1_02923,007747445v1_02923 (Planctomycetes bacterium KS4 )
002404095v1_03432,002404095v1_03432 (Planctomycetaceae bacterium UBA4732 UBA4732)
003508275v1_02770,003508275v1_02770 (Planctomycetales bacterium UBA11822)
900129635v1_03774,900129635v1_03774 (Singulisphaera sp. GP187 )
002418285v1_01882,002418285v1_01882 (Phycisphaerales bacterium UBA5793 UBA5793)
000949635v1_03835,000949635v1_03835 (Candidatus Brocadia sinica JPN1 )
008363395v1_02155,008363395v1_02155 (Candidatus Brocadia sp. AMX2 AMX2)
003577215v1_01332,003577215v1_01332 (Candidatus Brocadia sp. AMX1)
001567345v1_02942,001567345v1_02942 (Candidatus Brocadia sinica OLB1)
001828645v1_00083,001828645v1_00083 (Planctomycetes bacterium RIFOXYC2_FULL_41_27 )
001303465v1_00947,001303465v1_00947 (Phycisphaerae bacterium SG8_4 SG8_4)
003247375v1_01189,003247375v1_01189 (Phycisphaerales bacterium SZUA-346)
003644205v1_01102,003644205v1_01102 (Planctomycetes bacterium B26_G16)
001824675v1_00869,001824675v1_00869 (Planctomycetes bacterium RBG_13_50_24 )
003533825v1_01800,003533825v1_01800 (Phycisphaerales bacterium UBA9295)
001828465v1_00258,001828465v1_00258 (Planctomycetes bacterium RBG_16_55_9 )
002347125v1_03900,002347125v1_03900 (Phycisphaerales bacterium UBA2266 UBA2266)
002084585v1_01101,002084585v1_01101 (Planctomycetales bacterium 4572_13 4572_13)
003644155v1_01232,003644155v1_01232 (Planctomycetes bacterium B6_G2)
002007645v1_00675,002007645v1_00675 (Anaerohalosphaera lusitana )
001303465v1_03702,001303465v1_03702 (Phycisphaerae bacterium SG8_4 SG8_4)
005223045v1_01939,005223045v1_01939 (Planctomycetes bacterium B3_Pla B3_Pla)
003694765v1_01340,003694765v1_01340 (Planctomycetes bacterium J112)
000786775v1_01594,000786775v1_01594 (Candidatus Scalindua brodae RU1)
002632345v1_03598,002632345v1_03598 (Candidatus Scalindua rubra Ru_enrich_A1)
003230645v1_02228,003230645v1_02228 (Planctomycetes bacterium SZUA-167)
004282745v1_03055,004282745v1_03055 (Candidatus Scalindua sp. SCAELEC01 SCAELEC01)
008501815v1_01579,008501815v1_01579 (Candidatus Scalindua sp. amx)
004351875v1_03082,004351875v1_03082 (Candidatus Scalindua sp. AMX11 AMX11)
000949635v1_02674,000949635v1_02674 (Candidatus Brocadia sinica JPN1 )
001567345v1_00159,001567345v1_00159 (Candidatus Brocadia sinica OLB1)
003577215v1_01357,003577215v1_01357 (Candidatus Brocadia sp. AMX1)
008363395v1_00555,008363395v1_00555 (Candidatus Brocadia sp. AMX2 AMX2)
001753675v2_02034,001753675v2_02034 (Candidatus Brocadia sapporoensis )
007618155v1_01570,007618155v1_01570 (Candidatus Brocadia sp. BL1 BL1)
002848945v1_02010,002848945v1_02010 (Candidatus Brocadia sp. R4W10303 R4W10303)
002050325v1_01007,002050325v1_01007 (Candidatus Brocadia sp. UTAMX1 UTAMX1)
004282735v1_00541,004282735v1_00541 (Candidatus Brocadia sp. BROELEC01 BROELEC01)
007860005v1_02665,007860005v1_02665 (Candidatus Brocadiaceae bacterium B188 )
000987375v1_00187,000987375v1_00187 (Candidatus Brocadia fulgida RU1)
002050315v1_00404,002050315v1_00404 (Candidatus Brocadia sp. UTAMX2 UTAMX2)
002009475v1_00250,002009475v1_00250 (Candidatus Brocadia caroliniensis 26THWARD)
008933285v1_00199,008933285v1_00199 (Candidatus Brocadia sp. SB37)
007618135v1_02541,007618135v1_02541 (Candidatus Brocadia sp. WS118 WS118)
001824525v1_00805,001824525v1_00805 (Planctomycetes bacterium GWA2_50_13 )
001830275v1_00466,001830275v1_00466 (Planctomycetes bacterium RIFCSPHIGHO2_12_FULL_51_37 )
003545295v1_01171,003545295v1_01171 (Planctomycetia bacterium UBA10217)
001828605v1_00444,001828605v1_00444 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_50_35 )
001828385v1_01641,001828385v1_01641 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_50_42 )
001828565v1_00451,001828565v1_00451 (Planctomycetes bacterium RIFCSPLOWO2_02_FULL_50_16 )
001828545v1_00179,001828545v1_00179 (Planctomycetes bacterium RIFCSPHIGHO2_12_FULL_52_36 )
000296795v1_00602,000296795v1_00602 (Candidatus Jettenia caeni )
900696475v1_00361,900696475v1_00361 (uncultured Candidatus Brocadia sp. AMX3.fa.gz)
008363445v1_02229,008363445v1_02229 (Candidatus Jettenia sp. AMX1 AMX1)
005524015v1_02202,005524015v1_02202 (Candidatus Jettenia ecosi J2)
900696655v1_02354,900696655v1_02354 (uncultured Planctomycetales bacterium AMX2.fa.gz)
000949635v1_00542,000949635v1_00542 (Candidatus Brocadia sinica JPN1 )
008363395v1_01726,008363395v1_01726 (Candidatus Brocadia sp. AMX2 AMX2)
001567345v1_01359,001567345v1_01359 (Candidatus Brocadia sinica OLB1)
003577215v1_01763,003577215v1_01763 (Candidatus Brocadia sp. AMX1)
000987375v1_02878,000987375v1_02878 (Candidatus Brocadia fulgida RU1)
002050315v1_02982,002050315v1_02982 (Candidatus Brocadia sp. UTAMX2 UTAMX2)
003577195v1_01883,003577195v1_01883 (Candidatus Brocadia sp. AMX2)
002009475v1_01869,002009475v1_01869 (Candidatus Brocadia caroliniensis 26THWARD)
007618135v1_03194,007618135v1_03194 (Candidatus Brocadia sp. WS118 WS118)
001828645v1_00103,001828645v1_00103 (Planctomycetes bacterium RIFOXYC2_FULL_41_27 )
001828685v1_01332,001828685v1_01332 (Planctomycetes bacterium RIFOXYD2_FULL_41_16 )
000315095v1_02099,000315095v1_02099 (Candidatus Kuenenia stuttgartiensis enrichment culture clone CH1 )
900696675v1_02137,900696675v1_02137 (uncultured Candidatus Kuenenia sp. AMX1.fa.gz)
002418245v1_02261,002418245v1_02261 (Candidatus Kuenenia stuttgartiensis UBA5795)
007618145v1_00774,007618145v1_00774 (Candidatus Kuenenia stuttgartiensis BL10)
002632395v1_01081,002632395v1_01081 (Candidatus Kuenenia stuttgartiensis Ru_enrich_A3)
900232175v1_03075,900232175v1_03075 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
900232105v1_03792,900232105v1_03792 (Candidatus Kuenenia stuttgartiensis kuenenia_mbr1_ru-nijmegen)
000315115v1_01338,000315115v1_01338 (Candidatus Kuenenia stuttgartiensis enrichment culture clone RU1 )
001753675v2_00206,001753675v2_00206 (Candidatus Brocadia sapporoensis )
002050325v1_00151,002050325v1_00151 (Candidatus Brocadia sp. UTAMX1 UTAMX1)
004282735v1_01852,004282735v1_01852 (Candidatus Brocadia sp. BROELEC01 BROELEC01)
007860005v1_00333,007860005v1_00333 (Candidatus Brocadiaceae bacterium B188 )
002848945v1_01982,002848945v1_01982 (Candidatus Brocadia sp. R4W10303 R4W10303)
007618155v1_01557,007618155v1_01557 (Candidatus Brocadia sp. BL1 BL1)
001824485v1_01641,001824485v1_01641 (Planctomycetes bacterium GWA2_39_15 )
001830315v1_01493,001830315v1_01493 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_39_13 )
001825655v1_00037,001825655v1_00037 (Planctomycetes bacterium GWF2_39_10 )
001825635v1_00158,001825635v1_00158 (Planctomycetes bacterium GWC2_39_26 )
001828365v1_00949,001828365v1_00949 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_38_41 )
001830285v1_00583,001830285v1_00583 (Planctomycetes bacterium RIFCSPLOWO2_12_38_17 )
001828435v1_00524,001828435v1_00524 (Planctomycetes bacterium RIFCSPHIGHO2_12_39_6 )
001723765v1_00047,001723765v1_00047 (Candidatus Scalindua rubra BSI-1)
008636105v1_02635,008636105v1_02635 (Candidatus Scalindua sp. MohnsGC08_192)
002443295v1_03200,002443295v1_03200 (Candidatus Scalindua japonica )
002443295v1_03761,002443295v1_03761 (Candidatus Scalindua japonica )
007859995v1_01044,007859995v1_01044 (Candidatus Brocadiaceae bacterium S225 )
003230645v1_01082,003230645v1_01082 (Planctomycetes bacterium SZUA-167)
001828515v1_00129,001828515v1_00129 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_40_12 )
008636105v1_01185,008636105v1_01185 (Candidatus Scalindua sp. MohnsGC08_192)
001824525v1_01553,001824525v1_01553 (Planctomycetes bacterium GWA2_50_13 )
003545295v1_00470,003545295v1_00470 (Planctomycetia bacterium UBA10217)
001828565v1_01224,001828565v1_01224 (Planctomycetes bacterium RIFCSPLOWO2_02_FULL_50_16 )
001830275v1_01159,001830275v1_01159 (Planctomycetes bacterium RIFCSPHIGHO2_12_FULL_51_37 )
001828605v1_00120,001828605v1_00120 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_50_35 )
001828385v1_00379,001828385v1_00379 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_50_42 )
001828415v1_01135,001828415v1_01135 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_52_58 )
001828545v1_00741,001828545v1_00741 (Planctomycetes bacterium RIFCSPHIGHO2_12_FULL_52_36 )
000296795v1_01910,000296795v1_01910 (Candidatus Jettenia caeni )
900696475v1_02794,900696475v1_02794 (uncultured Candidatus Brocadia sp. AMX3.fa.gz)
008363445v1_01651,008363445v1_01651 (Candidatus Jettenia sp. AMX1 AMX1)
005524015v1_03240,005524015v1_03240 (Candidatus Jettenia ecosi J2)
000949635v1_00174,000949635v1_00174 (Candidatus Brocadia sinica JPN1 )
008363395v1_02240,008363395v1_02240 (Candidatus Brocadia sp. AMX2 AMX2)
003577215v1_02990,003577215v1_02990 (Candidatus Brocadia sp. AMX1)
001567345v1_02458,001567345v1_02458 (Candidatus Brocadia sinica OLB1)
000987375v1_02754,000987375v1_02754 (Candidatus Brocadia fulgida RU1)
003577195v1_02342,003577195v1_02342 (Candidatus Brocadia sp. AMX2)
002050315v1_02263,002050315v1_02263 (Candidatus Brocadia sp. UTAMX2 UTAMX2)
001753675v2_02252,001753675v2_02252 (Candidatus Brocadia sapporoensis )
002050325v1_01531,002050325v1_01531 (Candidatus Brocadia sp. UTAMX1 UTAMX1)
002848945v1_00817,002848945v1_00817 (Candidatus Brocadia sp. R4W10303 R4W10303)
007618155v1_02777,007618155v1_02777 (Candidatus Brocadia sp. BL1 BL1)
004282735v1_00387,004282735v1_00387 (Candidatus Brocadia sp. BROELEC01 BROELEC01)
007860005v1_00637,007860005v1_00637 (Candidatus Brocadiaceae bacterium B188 )
001825595v1_00389,001825595v1_00389 (Planctomycetes bacterium GWB2_41_19 )
001828635v1_00889,001828635v1_00889 (Planctomycetes bacterium RIFOXYB12_FULL_42_10 )
001828435v1_01778,001828435v1_01778 (Planctomycetes bacterium RIFCSPHIGHO2_12_39_6 )
007618135v1_01180,007618135v1_01180 (Candidatus Brocadia sp. WS118 WS118)
002009475v1_01576,002009475v1_01576 (Candidatus Brocadia caroliniensis 26THWARD)
900696655v1_01565,900696655v1_01565 (uncultured Planctomycetales bacterium AMX2.fa.gz)
000315095v1_00769,000315095v1_00769 (Candidatus Kuenenia stuttgartiensis enrichment culture clone CH1 )
000315115v1_02554,000315115v1_02554 (Candidatus Kuenenia stuttgartiensis enrichment culture clone RU1 )
900696675v1_00004,900696675v1_00004 (uncultured Candidatus Kuenenia sp. AMX1.fa.gz)
900232105v1_02163,900232105v1_02163 (Candidatus Kuenenia stuttgartiensis kuenenia_mbr1_ru-nijmegen)
002632395v1_00353,002632395v1_00353 (Candidatus Kuenenia stuttgartiensis Ru_enrich_A3)
900232175v1_00818,900232175v1_00818 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
007618145v1_02253,007618145v1_02253 (Candidatus Kuenenia stuttgartiensis BL10)
002418245v1_00843,002418245v1_00843 (Candidatus Kuenenia stuttgartiensis UBA5795)
001828295v1_00497,001828295v1_00497 (Planctomycetes bacterium RBG_16_41_13 )
000786775v1_03708,000786775v1_03708 (Candidatus Scalindua brodae RU1)
007859995v1_01099,007859995v1_01099 (Candidatus Brocadiaceae bacterium S225 )
002632345v1_00352,002632345v1_00352 (Candidatus Scalindua rubra Ru_enrich_A1)
003230645v1_02792,003230645v1_02792 (Planctomycetes bacterium SZUA-167)
002443295v1_02428,002443295v1_02428 (Candidatus Scalindua japonica )
001824605v1_00341,001824605v1_00341 (Planctomycetes bacterium GWF2_40_8 )
001828595v1_01234,001828595v1_01234 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_40_19 )
001828515v1_01160,001828515v1_01160 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_40_12 )
004282745v1_00278,004282745v1_00278 (Candidatus Scalindua sp. SCAELEC01 SCAELEC01)
008501815v1_02292,008501815v1_02292 (Candidatus Scalindua sp. amx)
004351875v1_03850,004351875v1_03850 (Candidatus Scalindua sp. AMX11 AMX11)
008636105v1_02716,008636105v1_02716 (Candidatus Scalindua sp. MohnsGC08_192)
000786775v1_03911,000786775v1_03911 (Candidatus Scalindua brodae RU1)
002632345v1_03287,002632345v1_03287 (Candidatus Scalindua rubra Ru_enrich_A1)
007859995v1_00947,007859995v1_00947 (Candidatus Brocadiaceae bacterium S225 )
002443295v1_01475,002443295v1_01475 (Candidatus Scalindua japonica )
001824605v1_00824,001824605v1_00824 (Planctomycetes bacterium GWF2_40_8 )
001828595v1_01970,001828595v1_01970 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_40_19 )
001828515v1_00100,001828515v1_00100 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_40_12 )
001723765v1_00412,001723765v1_00412 (Candidatus Scalindua rubra BSI-1)
001723765v1_03983,001723765v1_03983 (Candidatus Scalindua rubra BSI-1)
001828385v1_00877,001828385v1_00877 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_50_42 )
001830275v1_01098,001830275v1_01098 (Planctomycetes bacterium RIFCSPHIGHO2_12_FULL_51_37 )
001828605v1_01323,001828605v1_01323 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_50_35 )
001828565v1_00215,001828565v1_00215 (Planctomycetes bacterium RIFCSPLOWO2_02_FULL_50_16 )
001828385v1_00879,001828385v1_00879 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_50_42 )
001828605v1_01325,001828605v1_01325 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_50_35 )
001828565v1_00217,001828565v1_00217 (Planctomycetes bacterium RIFCSPLOWO2_02_FULL_50_16 )
001828545v1_00800,001828545v1_00800 (Planctomycetes bacterium RIFCSPHIGHO2_12_FULL_52_36 )
000296795v1_00910,000296795v1_00910 (Candidatus Jettenia caeni )
900696475v1_03203,900696475v1_03203 (uncultured Candidatus Brocadia sp. AMX3.fa.gz)
008363445v1_02024,008363445v1_02024 (Candidatus Jettenia sp. AMX1 AMX1)
005524015v1_00710,005524015v1_00710 (Candidatus Jettenia ecosi J2)
000987375v1_02916,000987375v1_02916 (Candidatus Brocadia fulgida RU1)
002050315v1_01182,002050315v1_01182 (Candidatus Brocadia sp. UTAMX2 UTAMX2)
003577195v1_00175,003577195v1_00175 (Candidatus Brocadia sp. AMX2)
002009475v1_03531,002009475v1_03531 (Candidatus Brocadia caroliniensis 26THWARD)
007618135v1_01034,007618135v1_01034 (Candidatus Brocadia sp. WS118 WS118)
001828385v1_01074,001828385v1_01074 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_50_42 )
001830275v1_00848,001830275v1_00848 (Planctomycetes bacterium RIFCSPHIGHO2_12_FULL_51_37 )
003545295v1_01530,003545295v1_01530 (Planctomycetia bacterium UBA10217)
001828565v1_01138,001828565v1_01138 (Planctomycetes bacterium RIFCSPLOWO2_02_FULL_50_16 )
000949635v1_03025,000949635v1_03025 (Candidatus Brocadia sinica JPN1 )
003577215v1_00164,003577215v1_00164 (Candidatus Brocadia sp. AMX1)
008363395v1_03383,008363395v1_03383 (Candidatus Brocadia sp. AMX2 AMX2)
001567345v1_02358,001567345v1_02358 (Candidatus Brocadia sinica OLB1)
000315115v1_02644,000315115v1_02644 (Candidatus Kuenenia stuttgartiensis enrichment culture clone RU1 )
900696675v1_00737,900696675v1_00737 (uncultured Candidatus Kuenenia sp. AMX1.fa.gz)
900232175v1_02163,900232175v1_02163 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
900232105v1_03442,900232105v1_03442 (Candidatus Kuenenia stuttgartiensis kuenenia_mbr1_ru-nijmegen)
002632395v1_00622,002632395v1_00622 (Candidatus Kuenenia stuttgartiensis Ru_enrich_A3)
002418245v1_01448,002418245v1_01448 (Candidatus Kuenenia stuttgartiensis UBA5795)
900232175v1_02065,900232175v1_02065 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
007618145v1_01361,007618145v1_01361 (Candidatus Kuenenia stuttgartiensis BL10)
004282745v1_01255,004282745v1_01255 (Candidatus Scalindua sp. SCAELEC01 SCAELEC01)
008501815v1_03290,008501815v1_03290 (Candidatus Scalindua sp. amx)
004351875v1_01984,004351875v1_01984 (Candidatus Scalindua sp. AMX11 AMX11)
000296795v1_00042,000296795v1_00042 (Candidatus Jettenia caeni )
008363445v1_00932,008363445v1_00932 (Candidatus Jettenia sp. AMX1 AMX1)
900696475v1_00673,900696475v1_00673 (uncultured Candidatus Brocadia sp. AMX3.fa.gz)
900696655v1_01745,900696655v1_01745 (uncultured Planctomycetales bacterium AMX2.fa.gz)
900696655v1_01744,900696655v1_01744 (uncultured Planctomycetales bacterium AMX2.fa.gz)
001830285v1_01120,001830285v1_01120 (Planctomycetes bacterium RIFCSPLOWO2_12_38_17 )
000949635v1_02476,000949635v1_02476 (Candidatus Brocadia sinica JPN1 )
003577215v1_03095,003577215v1_03095 (Candidatus Brocadia sp. AMX1)
008363395v1_01543,008363395v1_01543 (Candidatus Brocadia sp. AMX2 AMX2)
001567345v1_03008,001567345v1_03008 (Candidatus Brocadia sinica OLB1)
000987375v1_00274,000987375v1_00274 (Candidatus Brocadia fulgida RU1)
003577195v1_02331,003577195v1_02331 (Candidatus Brocadia sp. AMX2)
002050315v1_02252,002050315v1_02252 (Candidatus Brocadia sp. UTAMX2 UTAMX2)
002009475v1_02706,002009475v1_02706 (Candidatus Brocadia caroliniensis 26THWARD)
007618135v1_00500,007618135v1_00500 (Candidatus Brocadia sp. WS118 WS118)
001824485v1_00187,001824485v1_00187 (Planctomycetes bacterium GWA2_39_15 )
001825595v1_00724,001825595v1_00724 (Planctomycetes bacterium GWB2_41_19 )
000786775v1_03700,000786775v1_03700 (Candidatus Scalindua brodae RU1)
007859995v1_01106,007859995v1_01106 (Candidatus Brocadiaceae bacterium S225 )
