LABELS
#use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#NODE_ID,LABEL

#Examples
#define a name for an internal node
#9031|9606,Metazoa

#change the label for leaf node 9606
#9606,Homo sapiens
GCA_003149495.1,Gemmata obscuriglobus 
GCA_014240375.1,Planctomycetes bacterium bin110s
GCA_014381305.1,Planctomycetes bacterium NIOZ-UU92
GCA_014381385.1,Planctomycetes bacterium NIOZ-UU88
GCA_014381555.1,Planctomycetes bacterium NIOZ-UU85
GCA_014381695.1,Planctomycetes bacterium NIOZ-UU76
GCA_014381825.1,Planctomycetes bacterium NIOZ-UU7
GCA_014381885.1,Planctomycetes bacterium NIOZ-UU66
GCA_014382075.1,Planctomycetes bacterium NIOZ-UU58
GCA_014382385.1,Planctomycetes bacterium NIOZ-UU43
GCA_014382465.1,Planctomycetes bacterium NIOZ-UU38
GCA_014382595.1,Planctomycetes bacterium NIOZ-UU32
GCA_014382805.1,Planctomycetes bacterium NIOZ-UU23
GCA_014384025.1,Planctomycetes bacterium NIOZ-UU13
GCA_014384225.1,Planctomycetes bacterium NIOZ-UU121
GCA_014451015.1,Planctomycetes bacterium NIOZ-UU5
GCA_014584305.1,Planctomycetes bacterium BJ22
GCA_014584315.1,Planctomycetes bacterium BJ19
GCA_014584345.1,Planctomycetes bacterium BJ20
GCA_014584395.1,Planctomycetes bacterium BJ17
GCA_014894275.1,Planctomycetes bacterium Bin11_14.8m
GCA_014894345.1,Planctomycetes bacterium Bin6_14.8m
GCA_014894695.1,Planctomycetes bacterium Bin3_7.2m
GCA_015075375.1,Planctomycetes bacterium H5_PLA8
GCA_015075515.1,Planctomycetes bacterium H3_PLA7
GCA_015231345.1,Planctomycetes bacterium nwagbin3
GCA_015231495.1,Planctomycetes bacterium nTSbin13
GCA_015485455.1,Planctomycetes bacterium S139_23
GCA_015494315.1,Planctomycetes bacterium S144_24
GCA_015654675.1,Planctomycetes bacterium bin_345
GCA_015659385.1,Planctomycetes bacterium SZUA-1084
GCA_015659935.1,Planctomycetes bacterium SZUA-1050
GCA_015659995.1,Planctomycetes bacterium SZUA-1044
GCA_015660465.1,Planctomycetes bacterium SZUA-1014
GCA_015660505.1,Planctomycetes bacterium SZUA-1009
GCA_015660695.1,Planctomycetes bacterium SZUA-1002
GCA_015661985.1,Planctomycetes bacterium SZUA-1497
GCA_015663615.1,Planctomycetes bacterium SZUA-1322
GCA_015664385.1,Planctomycetes bacterium SZUA-1240
GCA_015664425.1,Planctomycetes bacterium SZUA-1234
GCA_015664845.1,Planctomycetes bacterium SZUA-1191
GCA_016125255.1,Planctomycetes bacterium RI_421
GCA_016177925.1,Planctomycetes bacterium NC_groundwater_65_Pr7_S-0.65um_66_14
GCA_016178485.1,Planctomycetes bacterium NC_groundwater_37_Pr7_B-0.1um_61_7
GCA_016178505.1,Planctomycetes bacterium NC_groundwater_38_Pr7_B-0.1um_65_11
GCA_016178855.1,Planctomycetes bacterium NC_groundwater_36_Pr7_B-0.1um_57_54
GCA_016179685.1,Planctomycetes bacterium NC_groundwater_288_Ag_S-0.65um_63_14
GCA_016187585.1,Planctomycetes bacterium NC_groundwater_466_Ag_B-0.1um_43_26
GCA_016187595.1,Planctomycetes bacterium NC_groundwater_465_Ag_B-0.1um_42_7
GCA_016187625.1,Planctomycetes bacterium NC_groundwater_464_Ag_B-0.1um_38_350
GCA_016188675.1,Planctomycetes bacterium NC_groundwater_411_Ag_B-0.1um_42_12
GCA_016190145.1,Planctomycetes bacterium NC_groundwater_670_Ag_B-0.1um_68_49
GCA_016190155.1,Planctomycetes bacterium NC_groundwater_668_Ag_B-0.1um_65_30
GCA_016190175.1,Planctomycetes bacterium NC_groundwater_669_Ag_B-0.1um_68_34
GCA_016191165.1,Planctomycetes bacterium NC_groundwater_620_Pr5_B-0.1um_61_30
GCA_016192525.1,Planctomycetes bacterium NC_groundwater_745_Ag_S-0.65um_67_9
GCA_016195405.1,Planctomycetes bacterium NC_groundwater_892_Pr1_S2p5_60_19
GCA_016196255.1,Planctomycetes bacterium NC_groundwater_852_Pr1_B-0.1um_63_10
GCA_016197205.1,Planctomycetes bacterium NC_groundwater_805_Pr6_B-0.1um_69_24
GCA_016198835.1,Planctomycetes bacterium NC_groundwater_1106_Ag_S2p5_42_111
GCA_016200105.1,Planctomycetes bacterium NC_groundwater_1044_Pr1_S-0.65um_66_18
GCA_016200125.1,Planctomycetes bacterium NC_groundwater_1045_Pr1_S-0.65um_68_9
GCA_016200135.1,Planctomycetes bacterium NC_groundwater_1043_Pr1_S-0.65um_64_14
GCA_016200155.1,Planctomycetes bacterium NC_groundwater_1041_Pr1_S-0.65um_62_10
GCA_016200225.1,Planctomycetes bacterium NC_groundwater_1038_Pr1_S-0.65um_57_32
GCA_016200265.1,Planctomycetes bacterium NC_groundwater_1039_Pr1_S-0.65um_57_94
GCA_016206465.1,Planctomycetes bacterium NC_groundwater_1359_Ag_S-0.2um_41_115
GCA_016206485.1,Planctomycetes bacterium NC_groundwater_1358_Ag_S-0.2um_39_40
GCA_016206515.1,Planctomycetes bacterium NC_groundwater_1360_Ag_S-0.2um_70_32
GCA_016207825.1,Planctomycetes bacterium NC_groundwater_1563_Pr4_S-0.65um_46_14
GCA_016208685.1,Planctomycetes bacterium NC_groundwater_1515_Pr4_B-0.1um_67_4
GCA_016208805.1,Planctomycetes bacterium NC_groundwater_1514_Pr4_B-0.1um_50_3
GCA_016209495.1,Planctomycetes bacterium NC_groundwater_1474_Ag_S-0.65um_73_34
GCA_016209535.1,Planctomycetes bacterium NC_groundwater_1473_Ag_S-0.65um_71_22
GCA_016209585.1,Planctomycetes bacterium NC_groundwater_1471_Ag_S-0.65um_69_23
GCA_016209595.1,Planctomycetes bacterium NC_groundwater_1472_Ag_S-0.65um_69_29
GCA_016209605.1,Planctomycetes bacterium NC_groundwater_1469_Ag_S-0.65um_64_41
GCA_016209665.1,Planctomycetes bacterium NC_groundwater_1470_Ag_S-0.65um_67_16
GCA_016209685.1,Planctomycetes bacterium NC_groundwater_1467_Ag_S-0.65um_52_288
GCA_016209705.1,Planctomycetes bacterium NC_groundwater_1468_Ag_S-0.65um_64_35
GCA_016213895.1,Planctomycetes bacterium NC_groundwater_1564_Pr4_S-0.65um_71_10
GCA_016215535.1,Planctomycetes bacterium NC_groundwater_1822_Pr3_B-0.1um_52_21
GCA_016219565.1,Planctomycetes bacterium NC_groundwater_1889_Pr3_B-0.1um_46_7
GCA_016220035.1,Planctomycetes bacterium NC_groundwater_1805_Pr3_B-0.1um_71_11
GCA_016220045.1,Planctomycetes bacterium NC_groundwater_1806_Pr3_B-0.1um_71_12
GCA_016220085.1,Planctomycetes bacterium NC_groundwater_1804_Pr3_B-0.1um_70_16
GCA_016220095.1,Planctomycetes bacterium NC_groundwater_1800_Pr3_B-0.1um_47_15
GCA_016222845.1,Planctomycetes bacterium NC_groundwater_2004_Pr3_S-0.65um_41_2
GCA_016235145.1,Planctomycetes bacterium NC_groundwater_1890_Pr3_B-0.1um_65_8
GCA_016235155.1,Planctomycetes bacterium NC_groundwater_1891_Pr3_B-0.1um_70_9
GCA_016235815.1,Planctomycetes bacterium NC_groundwater_1803_Pr3_B-0.1um_60_64
GCA_016235825.1,Planctomycetes bacterium NC_groundwater_1802_Pr3_B-0.1um_59_14
GCA_016235865.1,Planctomycetes bacterium NC_groundwater_1801_Pr3_B-0.1um_50_33
GCA_016235875.1,Planctomycetes bacterium NC_groundwater_1799_Pr3_B-0.1um_42_210
GCA_016350165.1,Planctomycetes bacterium 
GCA_016709145.1,Planctomycetes bacterium Aved_18-Q3-R54-62_MAXAC.457
GCA_016709875.1,Planctomycetes bacterium EsbW_18-Q3-R4-48_BAT3C.505
GCA_016712275.1,Planctomycetes bacterium Fred_18-Q3-R57-64_MAXAC.418
GCA_016712285.1,Planctomycetes bacterium Fred_18-Q3-R57-64_MAXAC.456
GCA_016712565.1,Planctomycetes bacterium Fred_18-Q3-R57-64_MAXAC.309
GCA_016713175.1,Planctomycetes bacterium Fred_18-Q3-R57-64_BATAC.530
GCA_016714045.1,Planctomycetes bacterium Fred_18-Q3-R57-64_BAT3C.229
GCA_016716265.1,Planctomycetes bacterium Kalu_18-Q3-R12-55_BAT3C.357
GCA_016719295.1,Planctomycetes bacterium Lyne_18-Q3-R50-59_MAXAC.409
GCA_016722065.1,Planctomycetes bacterium Ribe_18-Q3-R11-54_MAXAC.269
GCA_016743455.1,Planctomycetes bacterium PNC14
GCA_016745075.1,Planctomycetes bacterium BB1
GCA_016764635.1,Planctomycetes bacterium NORP259
GCA_016765095.1,Planctomycetes bacterium NORP233
GCA_016776905.1,Planctomycetes bacterium BS30m-G49
GCA_016779205.1,Planctomycetes bacterium BS301-5m-G84
GCA_016779225.1,Planctomycetes bacterium BS301-5m-G81
GCA_016779235.1,Planctomycetes bacterium BS301-5m-G83
GCA_016782785.1,Planctomycetes bacterium BS750m-G62
GCA_016784725.1,Planctomycetes bacterium BS150m-G35
GCA_016792805.1,Planctomycetes bacterium new MAG-28
GCA_016793245.1,Planctomycetes bacterium new MAG-27
GCA_016793265.1,Planctomycetes bacterium new MAG-24
GCA_016793305.1,Planctomycetes bacterium new MAG-25
GCA_016794035.1,Planctomycetes bacterium new MAG-23
GCA_016794425.1,Planctomycetes bacterium new MAG-22
GCA_016794485.1,Planctomycetes bacterium new MAG-26
GCA_016794565.1,Planctomycetes bacterium new MAG-21
GCA_016795205.1,Planctomycetes bacterium new MAG-30
GCA_016795245.1,Planctomycetes bacterium new MAG-31
GCA_016795255.1,Planctomycetes bacterium new MAG-32
GCA_016795285.1,Planctomycetes bacterium new MAG-33
GCA_016795295.1,Planctomycetes bacterium new MAG-20
GCA_016795325.1,Planctomycetes bacterium new MAG-29
GCA_016860685.1,Planctomycetes bacterium BroJett003
GCA_016860705.1,Planctomycetes bacterium BroJett004
GCA_016860905.1,Planctomycetes bacterium BroJett014
GCA_016872555.1,Planctomycetes bacterium K_Offshore_surface_mx_256
GCA_016872575.1,Planctomycetes bacterium K_Offshore_surface_m1_204
GCA_016872595.1,Planctomycetes bacterium K_Offshore_80m_m2_185
GCA_016872605.1,Planctomycetes bacterium K_Offshore_80m_m2_128
GCA_016872635.1,Planctomycetes bacterium K_Offshore_surface_mx_130
GCA_016872645.1,Planctomycetes bacterium K_Offshore_80m_m2_029
GCA_016872675.1,Planctomycetes bacterium K_Offshore_80m_m1_186
GCA_016872695.1,Planctomycetes bacterium M_DeepCast_65m_m1_287
GCA_016872715.1,Planctomycetes bacterium M_DeepCast_65m_m2_061
GCA_016872725.1,Planctomycetes bacterium M_DeepCast_65m_m2_011
GCA_016872755.1,Planctomycetes bacterium M_DeepCast_65m_m2_181
GCA_016872775.1,Planctomycetes bacterium K_DeepCast_65m_m1_055
GCA_016872795.1,Planctomycetes bacterium M_DeepCast_50m_m2_137
GCA_016872815.1,Planctomycetes bacterium M_DeepCast_50m_m2_133
GCA_016872835.1,Planctomycetes bacterium K_Offshore_40m_m2_104
GCA_016872855.1,Planctomycetes bacterium M_DeepCast_400m_m2_195
GCA_016872875.1,Planctomycetes bacterium M_DeepCast_400m_m2_341
GCA_016872895.1,Planctomycetes bacterium M_DeepCast_400m_m2_048
GCA_016872915.1,Planctomycetes bacterium K_DeepCast_35m_m2_037
GCA_016872925.1,Planctomycetes bacterium K_DeepCast_35m_m2_150
GCA_016872955.1,Planctomycetes bacterium K_DeepCast_35m_m1_264
GCA_016872975.1,Planctomycetes bacterium K_DeepCast_250m_m1_352
GCA_016872995.1,Planctomycetes bacterium K_DeepCast_250m_m1_330
GCA_016873005.1,Planctomycetes bacterium M_DeepCast_200m_m1_344
GCA_016873035.1,Planctomycetes bacterium M_DeepCast_200m_mx_231
GCA_016873055.1,Planctomycetes bacterium K_DeepCast_150m_m2_127
GCA_016873065.1,Planctomycetes bacterium M_DeepCast_200m_m2_025
GCA_016873095.1,Planctomycetes bacterium K_Offshore_120m_mx_222
GCA_016873115.1,Planctomycetes bacterium K_Offshore_120m_m2_148
GCA_016873135.1,Planctomycetes bacterium M_DeepCast_100m_mx_241
GCA_016873155.1,Planctomycetes bacterium M_DeepCast_100m_m2_243
GCA_016873165.1,Planctomycetes bacterium K_DeepCast_100m_m2_328
GCA_016873195.1,Planctomycetes bacterium K_DeepCast_100m_mx_218
GCA_016873215.1,Planctomycetes bacterium K_DeepCast_100m_m1_307
GCA_016873225.1,Planctomycetes bacterium K_Offshore_0m_mx_037
GCA_016873255.1,Planctomycetes bacterium M_surface_10_m2_213
GCA_016927125.1,Planctomycetes bacterium Zod_Metabat.533
GCA_016928275.1,Planctomycetes bacterium Zod_Metabat.384
GCA_016928605.1,Planctomycetes bacterium Zod_Metabat.340
GCA_016930595.1,Planctomycetes bacterium Zod_Metabat.1381
GCA_016935485.1,Planctomycetes bacterium Zod_Metabat.792
GCA_016935955.1,Planctomycetes bacterium Zod_Metabat.715
GCA_016936955.1,Planctomycetes bacterium ZodW_Metabat.298
GCA_017302815.1,Planctomycetes bacterium UWPOB_PLANC5
GCA_017303505.1,Planctomycetes bacterium UWPOB_PLANC4
GCA_017303535.1,Planctomycetes bacterium UWPOB_PLAC3
GCA_017303555.1,Planctomycetes bacterium UWPOB_PLANC2
GCA_017303565.1,Planctomycetes bacterium UWPOB_PLANC1
GCA_017306025.1,Planctomycetes bacterium SCN18_26_2_15_R2_P_68_10
GCA_017851775.1,Planctomycetes bacterium DEBay_Sum22NG08_94
GCA_017852975.1,Planctomycetes bacterium DEBay_Sum22DG08_65
GCA_017853435.1,Planctomycetes bacterium DEBay_Sum019D_L_G_184
GCA_017859745.1,Planctomycetes bacterium DEBay_Sum29DG08_11
GCA_017859815.1,Planctomycetes bacterium DEBay_Sum29DG08_26
GCA_017885385.1,Planctomycetes bacterium bin_34
GCA_017959045.1,Planctomycetes bacterium RGIG10317
GCA_017993505.1,Planctomycetes bacterium Go_SlDig_bin_27
GCA_018000135.1,Planctomycetes bacterium Go_SlDig_bin_17
GCA_018007235.1,Planctomycetes bacterium Go_SlAct_bin_603
GCA_018063365.1,Planctomycetes bacterium Gw_SlAct_bin_179
GCA_902521645.1,Planctomycetes bacterium AG-333-L23
GCA_902523155.1,Planctomycetes bacterium AG-337-A03
GCA_902565825.1,Planctomycetes bacterium AG-908-B08
GCA_902607325.1,Planctomycetes bacterium AG-464-F06
GCA_902626275.1,Planctomycetes bacterium AH-321-B14
GCA_002732755.1,Phycisphaera sp. NORP138
GCA_003712165.1,Phycisphaera sp. Bin4
GCA_016124975.1,Phycisphaera sp. RI_241
GCA_016125215.1,Phycisphaera sp. RI_382
GCA_016125285.1,Phycisphaera sp. RI_212
GCA_007618135.1,Candidatus Brocadia sp. WS118 WS118
GCA_007618155.1,Candidatus Brocadia sp. BL1 BL1
GCA_003136315.1,Gemmataceae bacterium palsa_1347
GCA_009691815.1,Gemmataceae bacterium Baikal-deep-G173
GCA_009691845.1,Gemmataceae bacterium Baikal-deep-G171
GCA_009691875.1,Gemmataceae bacterium Baikal-deep-G169
GCA_009692005.1,Gemmataceae bacterium Baikal-deep-G161
GCA_009692065.1,Gemmataceae bacterium Baikal-deep-G160
GCA_009697105.1,Gemmataceae bacterium Baikal-deep-G178
GCA_011046935.1,Gemmataceae bacterium SpSt-341
GCA_011053495.1,Gemmataceae bacterium SpSt-251
GCA_011053915.1,Gemmataceae bacterium SpSt-226
GCA_011055875.1,Gemmataceae bacterium SpSt-194
GCA_011331615.1,Gemmataceae bacterium SpSt-408
GCA_011357895.1,Gemmataceae bacterium SpSt-978
GCA_011370145.1,Gemmataceae bacterium SpSt-409
GCA_016462255.1,Gemmataceae bacterium SupBloom_Metag_054
GCA_016462605.1,Gemmataceae bacterium SupBloom_Metag_057
GCA_016463175.1,Gemmataceae bacterium SupBloom_Metag_056
GCA_016463605.1,Gemmataceae bacterium SupBloom_Metag_055
GCA_017853285.1,Gemmataceae bacterium DEBay_Sum019D_L_G_79
GCA_901538445.1,Gemmataceae bacterium CJuql4
GCA_903970495.1,Candidatus Melainabacteria bacterium BOG_genome_mining.24
GCA_003141275.1,Phycisphaerales bacterium fen_1362
GCA_003141315.1,Phycisphaerales bacterium fen_1361
GCA_003141515.1,Phycisphaerales bacterium fen_1358
GCA_003141735.1,Phycisphaerales bacterium fen_1356
GCA_003142275.1,Phycisphaerales bacterium fen_1360
GCA_003142315.1,Phycisphaerales bacterium fen_1359
GCA_003142595.1,Phycisphaerales bacterium fen_1357
GCA_003152775.1,Phycisphaerales bacterium fen_1352
GCA_003152915.1,Phycisphaerales bacterium fen_1351
GCA_003152975.1,Phycisphaerales bacterium fen_1350
GCA_003153655.1,Phycisphaerales bacterium palsa_1353
GCA_003153915.1,Phycisphaerales bacterium fen_1349
GCA_003154305.1,Phycisphaerales bacterium fen_1348
GCA_003162245.1,Phycisphaerales bacterium fen_1342
GCA_003170415.1,Phycisphaerales bacterium fen_1345
GCA_003171235.1,Phycisphaerales bacterium fen_1344
GCA_003171335.1,Phycisphaerales bacterium fen_1343
GCA_003235955.1,Phycisphaerales bacterium SZUA-269
GCA_003247375.1,Phycisphaerales bacterium SZUA-346
GCA_003448555.1,Phycisphaerales bacterium UBA12014
GCA_003450355.1,Phycisphaerales bacterium UBA12004
GCA_003453795.1,Phycisphaerales bacterium UBA12498
GCA_003476265.1,Phycisphaerales bacterium UBA10417
GCA_003485185.1,Phycisphaerales bacterium UBA12270
GCA_003487565.1,Phycisphaerales bacterium UBA8087
GCA_003499685.1,Phycisphaerales bacterium UBA12454
GCA_003499905.1,Phycisphaerales bacterium UBA9977
GCA_003511945.1,Phycisphaerales bacterium UBA11155
GCA_003516385.1,Phycisphaerales bacterium UBA8653
GCA_003517325.1,Phycisphaerales bacterium UBA8012
GCA_003520025.1,Phycisphaerales bacterium UBA12567
GCA_003520665.1,Phycisphaerales bacterium UBA12550
GCA_003528255.1,Phycisphaerales bacterium UBA10178
GCA_003533825.1,Phycisphaerales bacterium UBA9295
GCA_003543355.1,Phycisphaerales bacterium UBA10238
GCA_003597935.1,Phycisphaerales bacterium SURF_32
GCA_007122795.1,Phycisphaerales bacterium CSSed162cmA_532
GCA_007124345.1,Phycisphaerales bacterium CSSed162cmB_608R1
GCA_007125255.1,Phycisphaerales bacterium CSSed162cmB_545
GCA_007127615.1,Phycisphaerales bacterium CSSed162cmB_312
GCA_007135295.1,Phycisphaerales bacterium CSSed165cm_224
GCA_007693765.1,Phycisphaerales bacterium DLM2.Bin74
GCA_007693785.1,Phycisphaerales bacterium DLM2.Bin69
GCA_007693845.1,Phycisphaerales bacterium DLM2.Bin64
GCA_007694925.1,Phycisphaerales bacterium PLM2.Bin57
GCA_009691705.1,Phycisphaerales bacterium Baikal-deep-G179
GCA_009691725.1,Phycisphaerales bacterium Baikal-deep-G177
GCA_009691785.1,Phycisphaerales bacterium Baikal-deep-G174
GCA_009691805.1,Phycisphaerales bacterium Baikal-deep-G172
GCA_009691915.1,Phycisphaerales bacterium Baikal-deep-G165
GCA_009691945.1,Phycisphaerales bacterium Baikal-deep-G166
GCA_009692015.1,Phycisphaerales bacterium Baikal-deep-G163
GCA_009692045.1,Phycisphaerales bacterium Baikal-deep-G162
GCA_009781185.1,Phycisphaerales bacterium Emb289P4bin17
GCA_009781335.1,Phycisphaerales bacterium Emb289P3bin83
GCA_011043075.1,Phycisphaerales bacterium HyVt-298
GCA_011048645.1,Phycisphaerales bacterium SpSt-1223
GCA_011051965.1,Phycisphaerales bacterium HyVt-43
GCA_011053195.1,Phycisphaerales bacterium HyVt-447
GCA_011053245.1,Phycisphaerales bacterium HyVt-351
GCA_011055475.1,Phycisphaerales bacterium SpSt-1214
GCA_011057845.1,Phycisphaerales bacterium SpSt-1209
GCA_011331335.1,Phycisphaerales bacterium SpSt-423
GCA_011332905.1,Phycisphaerales bacterium SpSt-980
GCA_011369945.1,Phycisphaerales bacterium SpSt-560
GCA_011374745.1,Phycisphaerales bacterium HyVt-547
GCA_012031455.1,Phycisphaerales bacterium SM1_4_15
GCA_012729595.1,Phycisphaerales bacterium AS06rmzACSIP_494
GCA_012964395.1,Phycisphaerales bacterium UWMA-0094
GCA_012964585.1,Phycisphaerales bacterium UWMA-0087
GCA_012964595.1,Phycisphaerales bacterium UWMA-0084
GCA_012965315.1,Phycisphaerales bacterium UWMA-0053
GCA_013003065.1,Phycisphaerales bacterium SS_bin_71
GCA_013043745.1,Phycisphaerales bacterium Site_A9
GCA_013044165.1,Phycisphaerales bacterium MAG 19
GCA_013140575.1,Phycisphaerales bacterium WB-IL-13
GCA_013214315.1,Phycisphaerales bacterium DT_83
GCA_013360675.1,Phycisphaerales bacterium MAG_19
GCA_013360695.1,Phycisphaerales bacterium MAG_20
GCA_014237965.1,Phycisphaerales bacterium bin93s
GCA_014238125.1,Phycisphaerales bacterium bin75o
GCA_014238205.1,Phycisphaerales bacterium bin61s
GCA_014238785.1,Phycisphaerales bacterium bin132o
GCA_014238965.1,Phycisphaerales bacterium bin113o
GCA_014379025.1,Phycisphaerales bacterium ES-bin-95
GCA_014379385.1,Phycisphaerales bacterium ES-bin-47
GCA_014879435.1,Phycisphaerales bacterium GAO1
GCA_015487555.1,Phycisphaerales bacterium S012_6
GCA_015487775.1,Phycisphaerales bacterium S012_39
GCA_015490815.1,Phycisphaerales bacterium S141_31
GCA_015492715.1,Phycisphaerales bacterium S146_42
GCA_015658455.1,Phycisphaerales bacterium SZUA-1169
GCA_015663735.1,Phycisphaerales bacterium SZUA-1306
GCA_015664185.1,Phycisphaerales bacterium SZUA-1254
GCA_015664595.1,Phycisphaerales bacterium SZUA-1206
GCA_016699835.1,Phycisphaerales bacterium Fred_18-Q3-R57-64_MAXAC.330_cln
GCA_016709445.1,Phycisphaerales bacterium EsbW_18-Q3-R4-48_BATAC.72
GCA_016710275.1,Phycisphaerales bacterium Kalu_18-Q3-R12-55_MAXAC.193
GCA_016716165.1,Phycisphaerales bacterium Kalu_18-Q3-R12-55_BAT3C.68
GCA_016716475.1,Phycisphaerales bacterium Kalu_18-Q3-R12-55_BAT3C.197
GCA_016716585.1,Phycisphaerales bacterium Kalu_18-Q3-R12-55_BAT3C.140
GCA_016741915.1,Phycisphaerales bacterium Desfum bin_9_GBBB08
GCA_016742055.1,Phycisphaerales bacterium Desfum bin_11_GBBB05
GCA_016742075.1,Phycisphaerales bacterium Desfum bin_1_GBBB08
GCA_016763115.1,Phycisphaerales bacterium NORP340
GCA_016764015.1,Phycisphaerales bacterium NORP291
GCA_016764895.1,Phycisphaerales bacterium NORP244
GCA_016784785.1,Phycisphaerales bacterium BS150m-G34
GCA_016793015.1,Phycisphaerales bacterium new MAG-60
GCA_016795025.1,Phycisphaerales bacterium new MAG-48
GCA_017640485.1,Phycisphaerales bacterium HXMU1429-2
GCA_017642965.1,Phycisphaerales bacterium HXMU1422-10
GCA_017884515.1,Phycisphaerales bacterium bin_85
GCA_905339235.1,Phycisphaerales bacterium PHYC
GCA_003170085.1,Planctomycetia bacterium fen_1346
GCA_003545295.1,Planctomycetia bacterium UBA10217
GCA_005772855.1,Planctomycetia bacterium F1-120-MAGs048
GCA_005772955.1,Planctomycetia bacterium F1-120-MAGs040
GCA_005773035.1,Planctomycetia bacterium F1-120-MAGs034
GCA_005773265.1,Planctomycetia bacterium F1-120-MAGs016
GCA_005773305.1,Planctomycetia bacterium F1-120-MAGs009
GCA_005773745.1,Planctomycetia bacterium F1-120-MAGs015
GCA_005773755.1,Planctomycetia bacterium F1-120-MAGs012
GCA_005776365.1,Planctomycetia bacterium F1-120-MAGs252
GCA_005776475.1,Planctomycetia bacterium F1-120-MAGs241
GCA_005776545.1,Planctomycetia bacterium F1-120-MAGs238
GCA_005776885.1,Planctomycetia bacterium F1-120-MAGs214
GCA_005776895.1,Planctomycetia bacterium F1-120-MAGs213
GCA_005777005.1,Planctomycetia bacterium F1-120-MAGs206
GCA_005777815.1,Planctomycetia bacterium F1-120-MAGs133
GCA_005777835.1,Planctomycetia bacterium F1-120-MAGs131
GCA_005777855.1,Planctomycetia bacterium F1-120-MAGs132
GCA_005777915.1,Planctomycetia bacterium F1-120-MAGs123
GCA_005778015.1,Planctomycetia bacterium F1-120-MAGs111
GCA_005778045.1,Planctomycetia bacterium F1-120-MAGs118
GCA_005778145.1,Planctomycetia bacterium F1-120-MAGs110
GCA_005778455.1,Planctomycetia bacterium F1-120-MAGs193
GCA_005778725.1,Planctomycetia bacterium F1-120-MAGs169
GCA_005778825.1,Planctomycetia bacterium F1-120-MAGs159
GCA_005779585.1,Planctomycetia bacterium F1-120-MAGs064
GCA_005786805.1,Planctomycetia bacterium F1-20-MAGs202
GCA_005787455.1,Planctomycetia bacterium F1-20-MAGs150
GCA_005787685.1,Planctomycetia bacterium F1-20-MAGs128
GCA_005788705.1,Planctomycetia bacterium F1-20-MAGs167
GCA_005788775.1,Planctomycetia bacterium F1-20-MAGs157
GCA_005788805.1,Planctomycetia bacterium F1-20-MAGs149
GCA_005789005.1,Planctomycetia bacterium F1-20-MAGs129
GCA_005789645.1,Planctomycetia bacterium F1-20-MAGs052
GCA_005789675.1,Planctomycetia bacterium F1-20-MAGs050
GCA_005790545.1,Planctomycetia bacterium F1-140-MAGs146
GCA_005790565.1,Planctomycetia bacterium F1-140-MAGs142
GCA_005790605.1,Planctomycetia bacterium F1-140-MAGs141
GCA_005791845.1,Planctomycetia bacterium F1-140-MAGs153
GCA_005792145.1,Planctomycetia bacterium F1-140-MAGs090
GCA_005792245.1,Planctomycetia bacterium F1-140-MAGs085
GCA_005792915.1,Planctomycetia bacterium F1-140-MAGs030
GCA_005793125.1,Planctomycetia bacterium F1-140-MAGs016
GCA_005793445.1,Planctomycetia bacterium F1-140-MAGs075
GCA_005793475.1,Planctomycetia bacterium F1-140-MAGs069
GCA_005793545.1,Planctomycetia bacterium F1-140-MAGs066
GCA_005793745.1,Planctomycetia bacterium F1-140-MAGs022
GCA_005798935.1,Planctomycetia bacterium F1-60-MAGs148
GCA_005798965.1,Planctomycetia bacterium F1-60-MAGs145
GCA_005799205.1,Planctomycetia bacterium F1-60-MAGs130
GCA_005799265.1,Planctomycetia bacterium F1-60-MAGs120
GCA_005799465.1,Planctomycetia bacterium F1-60-MAGs106
GCA_005799475.1,Planctomycetia bacterium F1-60-MAGs105
GCA_005799495.1,Planctomycetia bacterium F1-60-MAGs104
GCA_005799545.1,Planctomycetia bacterium F1-60-MAGs101
GCA_005799575.1,Planctomycetia bacterium F1-60-MAGs100
GCA_005799835.1,Planctomycetia bacterium F1-60-MAGs084
GCA_005800045.1,Planctomycetia bacterium F1-60-MAGs137
GCA_005800225.1,Planctomycetia bacterium F1-60-MAGs099
GCA_005800635.1,Planctomycetia bacterium F1-60-MAGs055
GCA_005800905.1,Planctomycetia bacterium F1-60-MAGs034
GCA_005801395.1,Planctomycetia bacterium F1-60-MAGs021
GCA_005801465.1,Planctomycetia bacterium F1-60-MAGs020
GCA_005801495.1,Planctomycetia bacterium F1-60-MAGs016
GCA_005803845.1,Planctomycetia bacterium F1-80-MAGs188
GCA_005804005.1,Planctomycetia bacterium F1-80-MAGs176
GCA_005804045.1,Planctomycetia bacterium F1-80-MAGs171
GCA_005804055.1,Planctomycetia bacterium F1-80-MAGs170
