	K20934	K20933	K20932	K20935	K10535	K00371	K00370	K00368	K15864	K03385	K15876	K03320	K02598	K00362	K00363	K00372	K02575	K02189	K02188	K02006	K02007	K02008	K03386	K00428	K05919	K22405	K00958	K00394	K00395	K21816	K02497	K03594	K03711	K02635	K02636	K22225	K22226	K22227	K05565	K05566	K05567	K05568	K05569	K05571	K05299	K15022	K00330	K00331	K00332	K00333	K00337	K00338	K00339	K00340	K00341	K00342	K00343	K05575	K05577	K05579	K05580	K05583	K00346	K00347	K00348	K00349	K00350	K00351	K03612	K03613	K03614	K03615	K03616	K03617	K02108	K02109	K02110	K02111	K02112	K02113	K02114	K02115
GCA_005791255.1												005791255v1_03124											005791255v1_04294	005791255v1_02544,005791255v1_00489,005791255v1_00487,005791255v1_01277,005791255v1_04245,005791255v1_02303			005791255v1_03301								005791255v1_01585			005791255v1_03269									005791255v1_02730,005791255v1_04262	005791255v1_01575,005791255v1_04263	005791255v1_02729,005791255v1_04264	005791255v1_04265,005791255v1_02728	005791255v1_04269	005791255v1_04271,005791255v1_02732	005791255v1_04272	005791255v1_04273	005791255v1_04274,005791255v1_01997	005791255v1_04275,005791255v1_01998	005791255v1_04276																						005791255v1_03425		005791255v1_03424	
GCA_007922685.1																								007922685v1_02212,007922685v1_00833,007922685v1_00961								007922685v1_00288	007922685v1_00553														007922685v1_01729	007922685v1_02340	007922685v1_01728	007922685v1_01996		007922685v1_01731	007922685v1_02706	007922685v1_02131	007922685v1_01290,007922685v1_01193	007922685v1_01557,007922685v1_02774	007922685v1_00368																			007922685v1_01864		007922685v1_02590	007922685v1_02141	007922685v1_01863		007922685v1_02142
GCA_003484425.1																							003484425v1_01352	003484425v1_03212,003484425v1_02251,003484425v1_04134,003484425v1_00046									003484425v1_04367,003484425v1_01085					003484425v1_01379									003484425v1_04352,003484425v1_04315	003484425v1_00023,003484425v1_04314	003484425v1_04351,003484425v1_04313	003484425v1_04312,003484425v1_02272	003484425v1_04245	003484425v1_04243,003484425v1_04354	003484425v1_04242	003484425v1_04241	003484425v1_04240,003484425v1_03176	003484425v1_04239,003484425v1_03787	003484425v1_03786,003484425v1_04238																		003484425v1_02137	003484425v1_02135,003484425v1_00746		003484425v1_00748	003484425v1_00750	003484425v1_00747	003484425v1_00751	003484425v1_00749
GCA_003488265.1																							003488265v1_02228	003488265v1_04446,003488265v1_00692,003488265v1_02115,003488265v1_04150,003488265v1_01150,003488265v1_04136,003488265v1_00114			003488265v1_02541						003488265v1_04100		003488265v1_00455			003488265v1_03095									003488265v1_01858,003488265v1_01735	003488265v1_03924,003488265v1_01734	003488265v1_01857,003488265v1_01733	003488265v1_01732,003488265v1_01856	003488265v1_01728	003488265v1_01726,003488265v1_01860	003488265v1_01725	003488265v1_01724	003488265v1_01723,003488265v1_02348	003488265v1_01722,003488265v1_04258	003488265v1_04259,003488265v1_01721																		003488265v1_01061	003488265v1_01059		003488265v1_01057	003488265v1_01055	003488265v1_01058	003488265v1_01054	003488265v1_01056
GCA_903922805.1												903922805v1_00058,903922805v1_02223											903922805v1_00182	903922805v1_01750,903922805v1_01840,903922805v1_02637,903922805v1_03048,903922805v1_00881,903922805v1_02533									903922805v1_00856														903922805v1_02007	903922805v1_00669	903922805v1_00668	903922805v1_00667,903922805v1_02213	903922805v1_02092	903922805v1_02091,903922805v1_02005	903922805v1_03122	903922805v1_03121	903922805v1_03120,903922805v1_02643	903922805v1_04162	903922805v1_04163,903922805v1_03233																		903922805v1_01917	903922805v1_01381			903922805v1_02907	903922805v1_01380		
GCA_003456475.1																							003456475v1_02383	003456475v1_01309,003456475v1_01284									003456475v1_00245	003456475v1_01610	003456475v1_01609															003456475v1_01484	003456475v1_00729	003456475v1_00769	003456475v1_00730	003456475v1_00731		003456475v1_00115	003456475v1_00116,003456475v1_02254																			003456475v1_00840		003456475v1_00842		003456475v1_00841	003456475v1_01813	003456475v1_00843
GCA_017859815.1												017859815v1_01272,017859815v1_01841,017859815v1_03608											017859815v1_02853	017859815v1_01248,017859815v1_01361,017859815v1_01141,017859815v1_03798									017859815v1_03726	017859815v1_02019	017859815v1_02020			017859815v1_02814									017859815v1_02931,017859815v1_00991	017859815v1_01282,017859815v1_00992	017859815v1_00854,017859815v1_00993	017859815v1_00994,017859815v1_00853	017859815v1_00998,017859815v1_00737	017859815v1_00999,017859815v1_02929	017859815v1_01000,017859815v1_00738	017859815v1_01001,017859815v1_00739	017859815v1_01002,017859815v1_00740	017859815v1_00741,017859815v1_01003	017859815v1_00742,017859815v1_01004																		017859815v1_03641	017859815v1_03639		017859815v1_01477	017859815v1_00490		017859815v1_00491	017859815v1_01476
GCA_903920745.1												903920745v1_00258,903920745v1_01761											903920745v1_01828	903920745v1_01223,903920745v1_02771,903920745v1_03924,903920745v1_00402			903920745v1_03337						903920745v1_01535	903920745v1_01740	903920745v1_01739			903920745v1_01555									903920745v1_05069,903920745v1_01400	903920745v1_03512,903920745v1_01401	903920745v1_05068,903920745v1_01402	903920745v1_01403,903920745v1_05067	903920745v1_01407,903920745v1_01467,903920745v1_03879	903920745v1_01408,903920745v1_05071	903920745v1_01409,903920745v1_01468,903920745v1_03880	903920745v1_01469,903920745v1_01410,903920745v1_03881	903920745v1_01411,903920745v1_01470,903920745v1_03882,903920745v1_00212	903920745v1_01471,903920745v1_03884,903920745v1_01412,903920745v1_00213	903920745v1_01413,903920745v1_00555																		903920745v1_03119	903920745v1_03117		903920745v1_03115	903920745v1_03113	903920745v1_03116	903920745v1_03112	903920745v1_03114
GCA_903871805.1												903871805v1_00180,903871805v1_01496											903871805v1_00413	903871805v1_02802,903871805v1_04848,903871805v1_00940,903871805v1_04134									903871805v1_04529	903871805v1_02610	903871805v1_02611			903871805v1_00718									903871805v1_04789,903871805v1_01035	903871805v1_03497,903871805v1_01036	903871805v1_04790,903871805v1_01037	903871805v1_04791,903871805v1_04260	903871805v1_04256,903871805v1_01047	903871805v1_04255,903871805v1_04787	903871805v1_04254	903871805v1_04253	903871805v1_02392	903871805v1_02393																			903871805v1_01155	903871805v1_01153		903871805v1_01151	903871805v1_01149	903871805v1_01152	903871805v1_01148	903871805v1_01150
GCA_903853045.1												903853045v1_00025,903853045v1_00027																					903853045v1_00278					903853045v1_01967,903853045v1_02408									903853045v1_00378	903853045v1_00377			903853045v1_02532			903853045v1_00363	903853045v1_00362,903853045v1_00430,903853045v1_02997	903853045v1_00361,903853045v1_00429	903853045v1_02946,903853045v1_01533																		903853045v1_00416	903853045v1_00414		903853045v1_00412		903853045v1_00413		903853045v1_00411
GCA_012959735.1						012959735v1_06583	012959735v1_06582					012959735v1_05011,012959735v1_02686,012959735v1_03732,012959735v1_04573,012959735v1_04572,012959735v1_04002		012959735v1_06396		012959735v1_00941	012959735v1_06395,012959735v1_06587,012959735v1_06586						012959735v1_03530	012959735v1_04267,012959735v1_06575,012959735v1_04608,012959735v1_05897,012959735v1_05767							012959735v1_06280	012959735v1_06140	012959735v1_02614,012959735v1_03414		012959735v1_05482			012959735v1_01461,012959735v1_01590,012959735v1_00331									012959735v1_03112		012959735v1_03111	012959735v1_03110	012959735v1_00860	012959735v1_03113	012959735v1_00859	012959735v1_00858	012959735v1_00857	012959735v1_00277,012959735v1_01887	012959735v1_00276																		012959735v1_03257	012959735v1_03259		012959735v1_04699,012959735v1_01281	012959735v1_04701,012959735v1_01284		012959735v1_04702	012959735v1_04700,012959735v1_01280
GCA_015660465.1						015660465v1_01636	015660465v1_01635					015660465v1_03610,015660465v1_06742,015660465v1_06741			015660465v1_02885	015660465v1_02883,015660465v1_02246	015660465v1_00084,015660465v1_04662,015660465v1_04661				015660465v1_00012		015660465v1_03935	015660465v1_06740,015660465v1_03510,015660465v1_03860,015660465v1_01699,015660465v1_01910,015660465v1_04742								015660465v1_02071	015660465v1_05755,015660465v1_01683					015660465v1_06073,015660465v1_05326,015660465v1_06441									015660465v1_01883		015660465v1_00342	015660465v1_00343		015660465v1_01884	015660465v1_03809	015660465v1_03810	015660465v1_03811	015660465v1_03965							015660465v1_04664	015660465v1_04371	015660465v1_04372	015660465v1_04373	015660465v1_04374	015660465v1_04375										015660465v1_00643	015660465v1_05061,015660465v1_00640		015660465v1_05062	015660465v1_05060,015660465v1_00644
GCA_014238335.1												014238335v1_01024,014238335v1_03277				014238335v1_01817	014238335v1_01820						014238335v1_06393	014238335v1_04219,014238335v1_04010,014238335v1_05989,014238335v1_06205			014238335v1_06438				014238335v1_00630,014238335v1_06479	014238335v1_03702,014238335v1_03978	014238335v1_01851,014238335v1_05927	014238335v1_04461	014238335v1_04462		014238335v1_06235	014238335v1_06565									014238335v1_02375	014238335v1_03080	014238335v1_02376	014238335v1_02377	014238335v1_03091	014238335v1_02374	014238335v1_03090	014238335v1_03089	014238335v1_03088	014238335v1_03087	014238335v1_03086						014238335v1_01160	014238335v1_01159	014238335v1_01158	014238335v1_01157	014238335v1_01156	014238335v1_01155							014238335v1_05120	014238335v1_05122	014238335v1_05121	014238335v1_05124	014238335v1_05126	014238335v1_05123	014238335v1_05127	014238335v1_05125
GCA_003447475.1												003447475v1_04021		003447475v1_02106		003447475v1_04791							003447475v1_00093	003447475v1_00845,003447475v1_00223,003447475v1_01863,003447475v1_03224			003447475v1_03650					003447475v1_02866	003447475v1_03968	003447475v1_03105	003447475v1_03104			003447475v1_01007									003447475v1_02657	003447475v1_04280	003447475v1_02656	003447475v1_02400	003447475v1_03675	003447475v1_02659	003447475v1_03674	003447475v1_03673	003447475v1_03671	003447475v1_03670	003447475v1_03669							003447475v1_04210	003447475v1_04211	003447475v1_04212	003447475v1_04213								003447475v1_02315	003447475v1_02317			003447475v1_02100	003447475v1_02318	003447475v1_02101	
GCA_003503535.1												003503535v1_01486,003503535v1_01108												003503535v1_02151,003503535v1_03826,003503535v1_05337			003503535v1_01690				003503535v1_05421	003503535v1_05254	003503535v1_05449					003503535v1_03435,003503535v1_02786																	003503535v1_02673	003503535v1_02674			003503535v1_00933				003503535v1_03999	003503535v1_03998	003503535v1_03997	003503535v1_03996	003503535v1_03995	003503535v1_03994							003503535v1_03268,003503535v1_02704	003503535v1_02702,003503535v1_03270	003503535v1_02703	003503535v1_03272,003503535v1_02701	003503535v1_03274,003503535v1_02708	003503535v1_03271	003503535v1_03275	003503535v1_03273,003503535v1_02700
GCA_005778225.1												005778225v1_02274,005778225v1_01336		005778225v1_00601									005778225v1_04059	005778225v1_02079,005778225v1_01859,005778225v1_00025			005778225v1_02996					005778225v1_02971	005778225v1_02823,005778225v1_03284					005778225v1_02728				005778225v1_02861					005778225v1_03645	005778225v1_03646	005778225v1_03647	005778225v1_03648	005778225v1_03652	005778225v1_03653	005778225v1_03654	005778225v1_03655		005778225v1_01452	005778225v1_03264																		005778225v1_04011	005778225v1_04013				005778225v1_04014		
GCA_009720545.1										009720545v1_00823	009720545v1_00822	009720545v1_00153,009720545v1_00951,009720545v1_00234,009720545v1_03872		009720545v1_03029		009720545v1_03033	009720545v1_03028						009720545v1_00273	009720545v1_00271,009720545v1_04520,009720545v1_04443			009720545v1_02462				009720545v1_03928	009720545v1_05550,009720545v1_06135	009720545v1_03870,009720545v1_05727					009720545v1_01536																	009720545v1_02110	009720545v1_02109,009720545v1_05393							009720545v1_00328	009720545v1_00329	009720545v1_00330	009720545v1_00331	009720545v1_00332	009720545v1_00333							009720545v1_04149,009720545v1_02942	009720545v1_02940,009720545v1_04151	009720545v1_04150,009720545v1_02941	009720545v1_02938,009720545v1_04152	009720545v1_02936,009720545v1_04145	009720545v1_02939	009720545v1_02935	009720545v1_02937,009720545v1_04153
GCA_003526145.1										003526145v1_00136	003526145v1_00137	003526145v1_02734,003526145v1_06177,003526145v1_00262,003526145v1_04394				003526145v1_05283							003526145v1_02764	003526145v1_02762,003526145v1_02394,003526145v1_06353			003526145v1_00492				003526145v1_03345	003526145v1_00955,003526145v1_05076	003526145v1_02503,003526145v1_02870					003526145v1_02036																		003526145v1_05707			003526145v1_05706				003526145v1_06024	003526145v1_06026	003526145v1_06027	003526145v1_06029	003526145v1_06030	003526145v1_01874							003526145v1_01230,003526145v1_02457	003526145v1_02459,003526145v1_01232	003526145v1_01231,003526145v1_02458	003526145v1_02460,003526145v1_01233	003526145v1_01226,003526145v1_02462		003526145v1_02463	003526145v1_02461,003526145v1_01234
GCA_007746295.1										007746295v1_04943	007746295v1_04944	007746295v1_05613,007746295v1_04816,007746295v1_05540,007746295v1_02235		007746295v1_02974		007746295v1_02971	007746295v1_02975						007746295v1_05500	007746295v1_05502,007746295v1_01647,007746295v1_01488,007746295v1_01559			007746295v1_03435				007746295v1_02178	007746295v1_00526,007746295v1_01649,007746295v1_05800	007746295v1_02237,007746295v1_00346					007746295v1_04266																	007746295v1_03793	007746295v1_03794,007746295v1_00682							007746295v1_05434	007746295v1_05433	007746295v1_05432	007746295v1_05431	007746295v1_05430	007746295v1_05429							007746295v1_01908,007746295v1_03055	007746295v1_03057,007746295v1_01906	007746295v1_01907,007746295v1_03056	007746295v1_03059,007746295v1_01905	007746295v1_03061,007746295v1_01912	007746295v1_03058	007746295v1_03062	007746295v1_03060,007746295v1_01904
GCA_003449915.1										003449915v1_01510	003449915v1_01513	003449915v1_01930,003449915v1_02008				003449915v1_01813							003449915v1_02858	003449915v1_02918,003449915v1_02856,003449915v1_02657			003449915v1_05962				003449915v1_04523		003449915v1_00241																						003449915v1_02283	003449915v1_02284							003449915v1_01770	003449915v1_01768,003449915v1_01769	003449915v1_01767	003449915v1_01766	003449915v1_01765	003449915v1_01764							003449915v1_00797,003449915v1_02314	003449915v1_02312,003449915v1_00795	003449915v1_00796,003449915v1_02313	003449915v1_00794,003449915v1_02310	003449915v1_00801,003449915v1_02306	003449915v1_02311		003449915v1_02309,003449915v1_00793
GCA_003505085.1										003505085v1_02048	003505085v1_02047	003505085v1_01451,003505085v1_05776				003505085v1_06793	003505085v1_06799						003505085v1_02323	003505085v1_02321,003505085v1_03532,003505085v1_00924			003505085v1_05857				003505085v1_01906	003505085v1_01424,003505085v1_04142	003505085v1_05774,003505085v1_05488					003505085v1_04949																	003505085v1_05679	003505085v1_05678,003505085v1_04182							003505085v1_00480	003505085v1_00479	003505085v1_00478	003505085v1_00477	003505085v1_00476	003505085v1_00475							003505085v1_03772,003505085v1_05183	003505085v1_05181,003505085v1_03770	003505085v1_03771,003505085v1_05182	003505085v1_05179,003505085v1_03769,003505085v1_03768	003505085v1_03776,003505085v1_05175	003505085v1_05180	003505085v1_05174	003505085v1_05178,003505085v1_03767
GCA_007748195.1										007748195v1_00857	007748195v1_00858	007748195v1_00220,007748195v1_01231,007748195v1_00313,007748195v1_03766				007748195v1_02977	007748195v1_02973						007748195v1_00561	007748195v1_00559,007748195v1_04215,007748195v1_02327			007748195v1_02534				007748195v1_03823	007748195v1_05223,007748195v1_05781	007748195v1_03764,007748195v1_05529					007748195v1_01672																	007748195v1_05093	007748195v1_05094			007748195v1_04121				007748195v1_00619	007748195v1_00620	007748195v1_00621	007748195v1_00622	007748195v1_00623	007748195v1_00624							007748195v1_02634,007748195v1_02869	007748195v1_02867,007748195v1_02636	007748195v1_02635,007748195v1_02868	007748195v1_02865,007748195v1_02637	007748195v1_02863,007748195v1_02630	007748195v1_02866	007748195v1_02862	007748195v1_02864,007748195v1_02638
GCA_002724985.1										002724985v1_00706	002724985v1_00705	002724985v1_03299,002724985v1_05592,002724985v1_00804,002724985v1_02785		002724985v1_04387		002724985v1_05419	002724985v1_04386						002724985v1_06385	002724985v1_06387,002724985v1_04317							002724985v1_06586	002724985v1_00056,002724985v1_00759	002724985v1_02787,002724985v1_02707					002724985v1_02246,002724985v1_06582																	002724985v1_03591,002724985v1_04818	002724985v1_04390,002724985v1_04819	002724985v1_01582		002724985v1_00959				002724985v1_04222	002724985v1_04221	002724985v1_04220	002724985v1_04219	002724985v1_04218	002724985v1_04217							002724985v1_03654,002724985v1_06197	002724985v1_03652,002724985v1_06195	002724985v1_06196,002724985v1_03653	002724985v1_05315,002724985v1_06194	002724985v1_05313	002724985v1_05316	002724985v1_05312	002724985v1_05314,002724985v1_06193
GCA_009720525.1										009720525v1_03833	009720525v1_03834	009720525v1_03135,009720525v1_04244,009720525v1_00748,009720525v1_03037		009720525v1_06439		009720525v1_06442	009720525v1_06438,009720525v1_06437						009720525v1_03350	009720525v1_03348,009720525v1_01539			009720525v1_06028				009720525v1_00804	009720525v1_02420,009720525v1_02999	009720525v1_00746,009720525v1_02590					009720525v1_04731																	009720525v1_05595,009720525v1_02275	009720525v1_05594,009720525v1_02276	009720525v1_03320		009720525v1_01139				009720525v1_03403	009720525v1_03404	009720525v1_03405	009720525v1_03406	009720525v1_03407	009720525v1_03408							009720525v1_05553,009720525v1_06358	009720525v1_06356,009720525v1_05551	009720525v1_05552,009720525v1_06357	009720525v1_06354,009720525v1_05550	009720525v1_06352,009720525v1_05557	009720525v1_06355	009720525v1_06351	009720525v1_06353,009720525v1_05549
GCA_007751945.1												007751945v1_06147,007751945v1_05062,007751945v1_06222,007751945v1_01612				007751945v1_00818	007751945v1_00814						007751945v1_05975	007751945v1_05977,007751945v1_02279,007751945v1_05215			007751945v1_03508				007751945v1_01667	007751945v1_00558,007751945v1_06299,007751945v1_05214	007751945v1_01610,007751945v1_00376					007751945v1_04507																	007751945v1_03908,007751945v1_03125	007751945v1_03909,007751945v1_03126							007751945v1_05907	007751945v1_05906	007751945v1_05905	007751945v1_05904	007751945v1_05903	007751945v1_05902							007751945v1_03950,007751945v1_00733	007751945v1_00731,007751945v1_03952	007751945v1_03951,007751945v1_00732	007751945v1_00729,007751945v1_03953	007751945v1_00727,007751945v1_03946	007751945v1_00730	007751945v1_00726	007751945v1_00728,007751945v1_03954
GCA_007750395.1												007750395v1_03957,007750395v1_03098		007750395v1_01381		007750395v1_04097	007750395v1_04100			007750395v1_02896	007750395v1_02894	007750395v1_02895	007750395v1_00472	007750395v1_00470,007750395v1_04122,007750395v1_04300,007750395v1_02936			007750395v1_03440				007750395v1_02641	007750395v1_01037,007750395v1_04341,007750395v1_02300	007750395v1_03099,007750395v1_03607					007750395v1_04005																	007750395v1_03944	007750395v1_03945							007750395v1_03622	007750395v1_03621	007750395v1_03620	007750395v1_03619	007750395v1_03618	007750395v1_03617							007750395v1_00450	007750395v1_00448	007750395v1_00449	007750395v1_00446	007750395v1_00444	007750395v1_00447	007750395v1_00443	007750395v1_00445
GCA_014762625.1										014762625v1_01546	014762625v1_01545	014762625v1_04099,014762625v1_02418		014762625v1_03573		014762625v1_03571	014762625v1_03574						014762625v1_00830	014762625v1_03710,014762625v1_03241,014762625v1_02375,014762625v1_03946			014762625v1_02685					014762625v1_03971,014762625v1_02083	014762625v1_02122,014762625v1_00617	014762625v1_02971	014762625v1_02970			014762625v1_02800							014762625v1_04356		014762625v1_01625	014762625v1_03096	014762625v1_01624	014762625v1_01623	014762625v1_00557	014762625v1_01627	014762625v1_00556	014762625v1_00555	014762625v1_00554	014762625v1_00553	014762625v1_00552		014762625v1_01107				014762625v1_02935	014762625v1_02934	014762625v1_02933	014762625v1_02932	014762625v1_02931	014762625v1_02930							014762625v1_00596,014762625v1_00102	014762625v1_00594,014762625v1_00104	014762625v1_00103,014762625v1_00595	014762625v1_00592,014762625v1_00105	014762625v1_00590,014762625v1_00098	014762625v1_00593	014762625v1_00589	014762625v1_00591,014762625v1_00106
GCA_003669575.1												003669575v1_01333											003669575v1_01342	003669575v1_01398,003669575v1_02922,003669575v1_00952			003669575v1_00544				003669575v1_02041		003669575v1_02147		003669575v1_01212												003669575v1_01677,003669575v1_00721	003669575v1_00722	003669575v1_00723	003669575v1_00724	003669575v1_01294,003669575v1_01576	003669575v1_01293,003669575v1_01679	003669575v1_01292,003669575v1_01577	003669575v1_01291,003669575v1_01578	003669575v1_01290,003669575v1_01579,003669575v1_02434	003669575v1_01580,003669575v1_01127,003669575v1_02435	003669575v1_01126,003669575v1_01581																		003669575v1_00014	003669575v1_00012		003669575v1_00605	003669575v1_00607	003669575v1_00604	003669575v1_00608	003669575v1_00606
GCA_003388615.1					003388615v1_03443							003388615v1_01771,003388615v1_04708											003388615v1_00866	003388615v1_00060,003388615v1_04117,003388615v1_03255			003388615v1_01247,003388615v1_04193				003388615v1_02223	003388615v1_04419,003388615v1_01928,003388615v1_02267	003388615v1_01902	003388615v1_00469	003388615v1_00468			003388615v1_00781									003388615v1_00967	003388615v1_04450	003388615v1_00968	003388615v1_00972	003388615v1_03519	003388615v1_00965	003388615v1_03520	003388615v1_03521	003388615v1_03522,003388615v1_04027								003388615v1_03877	003388615v1_03878	003388615v1_03333	003388615v1_03334	003388615v1_03335	003388615v1_03336								003388615v1_01666		003388615v1_01668	003388615v1_01672	003388615v1_01667	003388615v1_01674	003388615v1_01669
GCA_016795125.1						016795125v1_00689	016795125v1_00688			016795125v1_02386	016795125v1_02387	016795125v1_02872				016795125v1_04081	016795125v1_03920						016795125v1_00368	016795125v1_01187,016795125v1_04062,016795125v1_00499			016795125v1_01193				016795125v1_01287	016795125v1_02532,016795125v1_00930	016795125v1_04217	016795125v1_03096	016795125v1_03095			016795125v1_03267									016795125v1_01689	016795125v1_01400			016795125v1_03451,016795125v1_02218	016795125v1_03450,016795125v1_01691	016795125v1_03449	016795125v1_03448,016795125v1_03056	016795125v1_03447,016795125v1_03055,016795125v1_00712	016795125v1_00711,016795125v1_03720	016795125v1_03721																		016795125v1_00552	016795125v1_00554		016795125v1_00557	016795125v1_00562	016795125v1_00556	016795125v1_00563	016795125v1_00560
GCA_903828915.1												903828915v1_00370,903828915v1_01771,903828915v1_00796								903828915v1_03980	903828915v1_03978	903828915v1_03979		903828915v1_03346,903828915v1_03957,903828915v1_00749,903828915v1_05147								903828915v1_06534	903828915v1_01877,903828915v1_01519	903828915v1_04966	903828915v1_04965			903828915v1_06857,903828915v1_03236									903828915v1_00860	903828915v1_00861	903828915v1_00862	903828915v1_00863	903828915v1_00867,903828915v1_00192	903828915v1_00868	903828915v1_00869,903828915v1_00191	903828915v1_00870,903828915v1_00190	903828915v1_00871,903828915v1_00189,903828915v1_05757	903828915v1_00188,903828915v1_00872,903828915v1_05756,903828915v1_04719	903828915v1_00873,903828915v1_00187,903828915v1_03771		903828915v1_05651																903828915v1_03634	903828915v1_03632		903828915v1_03630	903828915v1_03628	903828915v1_03631	903828915v1_03627	903828915v1_03629
GCA_903901285.1												903901285v1_03901,903901285v1_01720								903901285v1_06313		903901285v1_06314		903901285v1_00333,903901285v1_02057									903901285v1_02992,903901285v1_03088	903901285v1_04328				903901285v1_00934,903901285v1_05893									903901285v1_03018,903901285v1_02606	903901285v1_02783,903901285v1_02607	903901285v1_02608,903901285v1_03019	903901285v1_02609,903901285v1_06476	903901285v1_02030,903901285v1_01823	903901285v1_03016	903901285v1_03432,903901285v1_01824	903901285v1_03431,903901285v1_01825	903901285v1_03430,903901285v1_05432,903901285v1_04789	903901285v1_05005,903901285v1_04790	903901285v1_05004,903901285v1_04139		903901285v1_06329																903901285v1_00176	903901285v1_00174		903901285v1_03408	903901285v1_03410	903901285v1_00173	903901285v1_03411	903901285v1_03409
GCA_903908975.1												903908975v1_03002									903908975v1_04122	903908975v1_04123		903908975v1_01043,903908975v1_00645									903908975v1_01433												903908975v1_00146		903908975v1_02890,903908975v1_03885	903908975v1_04086	903908975v1_03886	903908975v1_03887	903908975v1_00147	903908975v1_00148,903908975v1_03883			903908975v1_01542,903908975v1_00348	903908975v1_00347,903908975v1_01543	903908975v1_00346		903908975v1_02702																903908975v1_01749	903908975v1_01747				903908975v1_01746		
GCA_903858935.1												903858935v1_02686,903858935v1_02240		903858935v1_06097		903858935v1_06099	903858935v1_06096			903858935v1_01648	903858935v1_01650	903858935v1_01649	903858935v1_04622	903858935v1_00743,903858935v1_04075,903858935v1_05016,903858935v1_02344,903858935v1_00491								903858935v1_00070	903858935v1_03545,903858935v1_01979	903858935v1_04840	903858935v1_04839			903858935v1_01325,903858935v1_02873,903858935v1_00465									903858935v1_01920,903858935v1_01997	903858935v1_01605,903858935v1_01998	903858935v1_01999,903858935v1_01921	903858935v1_02000,903858935v1_01922	903858935v1_02004,903858935v1_03573	903858935v1_02005,903858935v1_01918	903858935v1_02006,903858935v1_03572	903858935v1_02007,903858935v1_03571	903858935v1_02008,903858935v1_03570,903858935v1_01069	903858935v1_03569,903858935v1_02009,903858935v1_01070,903858935v1_02280	903858935v1_03568,903858935v1_02010,903858935v1_05094		903858935v1_06106																903858935v1_02146	903858935v1_02148		903858935v1_02150	903858935v1_02152	903858935v1_02149	903858935v1_02153	903858935v1_02151
GCA_903995095.1												903995095v1_00088								903995095v1_00234	903995095v1_00236	903995095v1_00235		903995095v1_01153,903995095v1_01605								903995095v1_01170						903995095v1_00469,903995095v1_00424,903995095v1_00427									903995095v1_00587		903995095v1_00588	903995095v1_00589		903995095v1_00585	903995095v1_01797	903995095v1_01796	903995095v1_01795,903995095v1_02202	903995095v1_01794,903995095v1_02201,903995095v1_02198	903995095v1_02199,903995095v1_01793,903995095v1_00545		903995095v1_00991																			903995095v1_02185	903995095v1_02183		903995095v1_02182	903995095v1_02184
GCA_903931205.1												903931205v1_02771									903931205v1_01491	903931205v1_01490		903931205v1_00386,903931205v1_02053									903931205v1_02679,903931205v1_02022					903931205v1_00998							903931205v1_00685		903931205v1_01831,903931205v1_01850	903931205v1_01830,903931205v1_01313	903931205v1_01849	903931205v1_01155,903931205v1_01848	903931205v1_00684,903931205v1_02660	903931205v1_00683,903931205v1_01243	903931205v1_02661	903931205v1_02662		903931205v1_01436,903931205v1_01620	903931205v1_01435,903931205v1_01946																									
GCA_903874195.1												903874195v1_05257								903874195v1_01112	903874195v1_01114	903874195v1_01113	903874195v1_03494	903874195v1_03479,903874195v1_04443,903874195v1_00869							903874195v1_03869	903874195v1_03739	903874195v1_00202,903874195v1_00330		903874195v1_03001			903874195v1_03888,903874195v1_05138									903874195v1_03038,903874195v1_04184	903874195v1_01896,903874195v1_04185	903874195v1_04186,903874195v1_03037	903874195v1_04187,903874195v1_03036	903874195v1_04191,903874195v1_03449	903874195v1_04192,903874195v1_03040	903874195v1_03450	903874195v1_03922,903874195v1_03451	903874195v1_03923,903874195v1_03452,903874195v1_04920	903874195v1_05202,903874195v1_03924,903874195v1_04921,903874195v1_00809	903874195v1_05203,903874195v1_03925,903874195v1_02374		903874195v1_00054																903874195v1_03970	903874195v1_03968		903874195v1_03966	903874195v1_00018	903874195v1_03967	903874195v1_00019	903874195v1_03965
GCA_903898875.1												903898875v1_05784,903898875v1_01752								903898875v1_02061	903898875v1_02059	903898875v1_02060	903898875v1_00003	903898875v1_04717,903898875v1_04962,903898875v1_03266,903898875v1_04602							903898875v1_00211	903898875v1_01727	903898875v1_04773,903898875v1_05891	903898875v1_01186	903898875v1_01187			903898875v1_01234,903898875v1_04652									903898875v1_01635,903898875v1_05058	903898875v1_00214,903898875v1_05057	903898875v1_05056,903898875v1_01634	903898875v1_05055,903898875v1_01633	903898875v1_05051	903898875v1_05050,903898875v1_01637	903898875v1_05049	903898875v1_05048	903898875v1_05047,903898875v1_03283,903898875v1_02527	903898875v1_05046,903898875v1_02235,903898875v1_02526,903898875v1_05958	903898875v1_02236,903898875v1_05045,903898875v1_04264		903898875v1_05563																903898875v1_01624	903898875v1_01622		903898875v1_02560	903898875v1_03219		903898875v1_03220	903898875v1_02561
